"","sample_id","dist_family","dist","size","mean","median","mean_median","sd","skewness","kurtosis","outliers_minor","outliers_extream","sigma_1_ratio","sigma_2_ratio","sigma_3_ratio","model","test_set","actual","predicted","score","threshold","type"
"51","close_normal-tukey(0.1)-16","close_normal","tukey(0.1)",16,0,-0.08031,0.08031,1,0.14807,1.8838,0,0,0.6875,1,1,"svmRadialSigma","unseen","class_1","class_1",0.88656436669141,0.338818443172808,"TP"
"56","sym_long_tail-t(1)-16","sym_long_tail","t(1)",16,0,0.0094,-0.0094,1,0.38403,2.1823,0,0,0.625,1,1,"svmRadialSigma","unseen","class_1","class_1",0.900671977778414,0.338818443172808,"TP"
"61","sym_short_tail-uniform(0,1)-16","sym_short_tail","uniform(0,1)",16,0,0.20557,-0.20557,1,-0.55659,2.14756,0,0,0.5625,1,1,"svmRadialSigma","unseen","class_1","class_1",0.981327689111019,0.338818443172808,"TP"
"66","asym_long_tail-Weibull(0.5,1)-16","asym_long_tail","Weibull(0.5,1)",16,0,-0.3208,0.3208,1,3.25906,12.41207,1,1,0.9375,0.9375,0.9375,"svmRadialSigma","unseen","class_1","class_1",0.962371799325535,0.338818443172808,"TP"
"71","asym_short_tail-beta(2,1)-16","asym_short_tail","beta(2,1)",16,0,0.12647,-0.12647,1,-0.38288,1.90342,0,0,0.6875,1,1,"svmRadialSigma","unseen","class_1","class_0",0.325554643403466,0.338818443172808,"FN"
"80","normal(0.6)-Normal_548_328.8-16","normal(0.6)","Normal_548_328.8",16,0,-0.10646,0.10646,1,0.52681,2.26476,0,0,0.6875,0.9375,1,"svmRadialSigma","unseen","class_0","class_0",0.262616536612924,0.338818443172808,"TN"
"85","normal(0.6)-Normal_-605_363-16","normal(0.6)","Normal_-605_363",16,0,-0.00712,0.00712,1,0.15408,3.0489,0,0,0.8125,0.875,1,"svmRadialSigma","unseen","class_0","class_1",0.938987724912053,0.338818443172808,"FP"
"90","normal(0.6)-Normal_956_573.6-16","normal(0.6)","Normal_956_573.6",16,0,-0.17827,0.17827,1,-0.11981,2.241,0,0,0.6875,1,1,"svmRadialSigma","unseen","class_0","class_0",0.194908139018138,0.338818443172808,"TN"
"95","normal(0.6)-Normal_-597_358.2-16","normal(0.6)","Normal_-597_358.2",16,0,-0.03934,0.03934,1,0.66539,3.65857,1,0,0.75,0.9375,1,"svmRadialSigma","unseen","class_0","class_0",0.287637115394932,0.338818443172808,"TN"
"100","normal(0.6)-Normal_-277_166.2-16","normal(0.6)","Normal_-277_166.2",16,0,0.07757,-0.07757,1,-0.30943,2.4054,0,0,0.625,0.9375,1,"svmRadialSigma","unseen","class_0","class_0",0.213547421071929,0.338818443172808,"TN"
"101","close_normal-tukey(0.1)-23","close_normal","tukey(0.1)",23,0,-0.02939,0.02939,1,-0.20891,1.88734,0,0,0.608695652173913,1,1,"svmRadialSigma","unseen","class_1","class_1",0.967102668514905,0.338818443172808,"TP"
"106","sym_long_tail-t(1)-23","sym_long_tail","t(1)",23,0,-0.08432,0.08432,1,0.91559,7.27317,6,2,0.782608695652174,0.91304347826087,0.956521739130435,"svmRadialSigma","unseen","class_1","class_1",0.950197769133162,0.338818443172808,"TP"
"111","sym_short_tail-uniform(0,1)-23","sym_short_tail","uniform(0,1)",23,0,0.20495,-0.20495,1,-0.2137,1.7085,0,0,0.652173913043478,1,1,"svmRadialSigma","unseen","class_1","class_1",0.818455458877212,0.338818443172808,"TP"
"116","asym_long_tail-Weibull(0.5,1)-23","asym_long_tail","Weibull(0.5,1)",23,0,-0.3058,0.3058,1,2.18095,8.29662,1,0,0.91304347826087,0.956521739130435,0.956521739130435,"svmRadialSigma","unseen","class_1","class_1",0.960205722517091,0.338818443172808,"TP"
"121","asym_short_tail-beta(2,1)-23","asym_short_tail","beta(2,1)",23,0,0.10687,-0.10687,1,-0.18066,1.82962,0,0,0.565217391304348,1,1,"svmRadialSigma","unseen","class_1","class_1",0.953103410340604,0.338818443172808,"TP"
"130","normal(0.6)-Normal_548_328.8-23","normal(0.6)","Normal_548_328.8",23,0,-0.20904,0.20904,1,0.0706,2.08058,0,0,0.652173913043478,1,1,"svmRadialSigma","unseen","class_0","class_1",0.392512104601108,0.338818443172808,"FP"
"135","normal(0.6)-Normal_-605_363-23","normal(0.6)","Normal_-605_363",23,0,-0.12909,0.12909,1,0.40667,2.23942,0,0,0.652173913043478,0.956521739130435,1,"svmRadialSigma","unseen","class_0","class_0",0.109509733817565,0.338818443172808,"TN"
"140","normal(0.6)-Normal_956_573.6-23","normal(0.6)","Normal_956_573.6",23,0,0.11387,-0.11387,1,-0.20086,2.17364,0,0,0.695652173913043,0.956521739130435,1,"svmRadialSigma","unseen","class_0","class_0",0.139695405673181,0.338818443172808,"TN"
"145","normal(0.6)-Normal_-597_358.2-23","normal(0.6)","Normal_-597_358.2",23,0,0.1186,-0.1186,1,-0.13239,2.63282,0,0,0.739130434782609,1,1,"svmRadialSigma","unseen","class_0","class_1",0.801169723804482,0.338818443172808,"FP"
"150","normal(0.6)-Normal_-277_166.2-23","normal(0.6)","Normal_-277_166.2",23,0,0.10851,-0.10851,1,0.07267,2.24426,0,0,0.652173913043478,1,1,"svmRadialSigma","unseen","class_0","class_0",0.0867681384525714,0.338818443172808,"TN"
"151","close_normal-tukey(0.1)-31","close_normal","tukey(0.1)",31,0,-0.11584,0.11584,1,0.05855,2.08622,0,0,0.645161290322581,0.967741935483871,1,"svmRadialSigma","unseen","class_1","class_1",0.34863420344864,0.338818443172808,"TP"
"156","sym_long_tail-t(1)-31","sym_long_tail","t(1)",31,0,-0.07516,0.07516,1,0.76408,5.62904,5,3,0.774193548387097,0.903225806451613,0.967741935483871,"svmRadialSigma","unseen","class_1","class_1",0.952466855579049,0.338818443172808,"TP"
"161","sym_short_tail-uniform(0,1)-31","sym_short_tail","uniform(0,1)",31,0,0.00827,-0.00827,1,0.04528,1.69795,0,0,0.612903225806452,1,1,"svmRadialSigma","unseen","class_1","class_1",0.929387443611959,0.338818443172808,"TP"
"166","asym_long_tail-Weibull(0.5,1)-31","asym_long_tail","Weibull(0.5,1)",31,0,-0.38871,0.38871,1,2.24345,6.89188,5,4,0.870967741935484,0.935483870967742,0.967741935483871,"svmRadialSigma","unseen","class_1","class_1",0.954847666094385,0.338818443172808,"TP"
"171","asym_short_tail-beta(2,1)-31","asym_short_tail","beta(2,1)",31,0,0.29884,-0.29884,1,-0.9321,3.03822,1,0,0.67741935483871,0.935483870967742,1,"svmRadialSigma","unseen","class_1","class_1",0.970073154928282,0.338818443172808,"TP"
"180","normal(0.6)-Normal_548_328.8-31","normal(0.6)","Normal_548_328.8",31,0,0.02798,-0.02798,1,-0.32995,2.23375,0,0,0.67741935483871,0.967741935483871,1,"svmRadialSigma","unseen","class_0","class_0",0.18022891767504,0.338818443172808,"TN"
"185","normal(0.6)-Normal_-605_363-31","normal(0.6)","Normal_-605_363",31,0,-0.09838,0.09838,1,0.56947,3.42792,2,0,0.741935483870968,0.903225806451613,1,"svmRadialSigma","unseen","class_0","class_0",0.225774322537048,0.338818443172808,"TN"
"190","normal(0.6)-Normal_956_573.6-31","normal(0.6)","Normal_956_573.6",31,0,0.05167,-0.05167,1,-0.05762,2.71533,0,0,0.709677419354839,0.967741935483871,1,"svmRadialSigma","unseen","class_0","class_0",0.127710850756467,0.338818443172808,"TN"
"195","normal(0.6)-Normal_-597_358.2-31","normal(0.6)","Normal_-597_358.2",31,0,0.07828,-0.07828,1,-0.19531,2.3324,0,0,0.612903225806452,0.967741935483871,1,"svmRadialSigma","unseen","class_0","class_1",0.426498968964503,0.338818443172808,"FP"
"200","normal(0.6)-Normal_-277_166.2-31","normal(0.6)","Normal_-277_166.2",31,0,-0.06941,0.06941,1,-0.50622,3.15207,0,0,0.741935483870968,0.935483870967742,1,"svmRadialSigma","unseen","class_0","class_0",0.0920076834848169,0.338818443172808,"TN"
"201","close_normal-tukey(0.1)-42","close_normal","tukey(0.1)",42,0,-0.08156,0.08156,1,0.41732,2.62867,0,0,0.642857142857143,0.976190476190476,1,"svmRadialSigma","unseen","class_1","class_1",0.950212182292917,0.338818443172808,"TP"
"206","sym_long_tail-t(1)-42","sym_long_tail","t(1)",42,0,-0.11866,0.11866,1,1.20953,7.65177,6,1,0.785714285714286,0.928571428571429,0.976190476190476,"svmRadialSigma","unseen","class_1","class_1",0.961796167904871,0.338818443172808,"TP"
"211","sym_short_tail-uniform(0,1)-42","sym_short_tail","uniform(0,1)",42,0,0.06875,-0.06875,1,-0.04605,1.56843,0,0,0.547619047619048,1,1,"svmRadialSigma","unseen","class_1","class_1",0.966444766122523,0.338818443172808,"TP"
"216","asym_long_tail-Weibull(0.5,1)-42","asym_long_tail","Weibull(0.5,1)",42,0,-0.30967,0.30967,1,4.37439,23.91151,5,4,0.928571428571429,0.976190476190476,0.976190476190476,"svmRadialSigma","unseen","class_1","class_1",0.959670153944825,0.338818443172808,"TP"
"221","asym_short_tail-beta(2,1)-42","asym_short_tail","beta(2,1)",42,0,0.28032,-0.28032,1,-0.98184,3.15998,2,0,0.69047619047619,0.928571428571429,1,"svmRadialSigma","unseen","class_1","class_1",0.975666769957639,0.338818443172808,"TP"
"230","normal(0.6)-Normal_548_328.8-42","normal(0.6)","Normal_548_328.8",42,0,-0.09526,0.09526,1,-0.24381,3.70124,1,0,0.738095238095238,0.904761904761905,1,"svmRadialSigma","unseen","class_0","class_0",0.243808695123644,0.338818443172808,"TN"
"235","normal(0.6)-Normal_-605_363-42","normal(0.6)","Normal_-605_363",42,0,0.09682,-0.09682,1,-0.3524,2.86218,0,0,0.761904761904762,0.952380952380952,1,"svmRadialSigma","unseen","class_0","class_0",0.269007923133954,0.338818443172808,"TN"
"240","normal(0.6)-Normal_956_573.6-42","normal(0.6)","Normal_956_573.6",42,0,0.09339,-0.09339,1,-0.01885,2.66714,0,0,0.642857142857143,0.952380952380952,1,"svmRadialSigma","unseen","class_0","class_0",0.103422812647026,0.338818443172808,"TN"
"245","normal(0.6)-Normal_-597_358.2-42","normal(0.6)","Normal_-597_358.2",42,0,0.06407,-0.06407,1,-0.1466,2.00679,0,0,0.595238095238095,1,1,"svmRadialSigma","unseen","class_0","class_1",0.897302666797766,0.338818443172808,"FP"
"250","normal(0.6)-Normal_-277_166.2-42","normal(0.6)","Normal_-277_166.2",42,0,-0.17996,0.17996,1,0.46895,2.94615,1,0,0.714285714285714,0.976190476190476,1,"svmRadialSigma","unseen","class_0","class_1",0.53076092074852,0.338818443172808,"FP"
"251","close_normal-tukey(0.1)-55","close_normal","tukey(0.1)",55,0,0.15779,-0.15779,1,-0.19133,2.55045,0,0,0.709090909090909,1,1,"svmRadialSigma","unseen","class_1","class_1",0.840053045876962,0.338818443172808,"TP"
"256","sym_long_tail-t(1)-55","sym_long_tail","t(1)",55,0,0.05037,-0.05037,1,0.04362,10.68536,7,5,0.890909090909091,0.927272727272727,0.945454545454545,"svmRadialSigma","unseen","class_1","class_1",0.94999526672432,0.338818443172808,"TP"
"261","sym_short_tail-uniform(0,1)-55","sym_short_tail","uniform(0,1)",55,0,-0.14596,0.14596,1,0.33041,1.9618,0,0,0.6,1,1,"svmRadialSigma","unseen","class_1","class_1",0.970273571908825,0.338818443172808,"TP"
"266","asym_long_tail-Weibull(0.5,1)-55","asym_long_tail","Weibull(0.5,1)",55,0,-0.31085,0.31085,1,5.28199,33.99901,4,2,0.927272727272727,0.981818181818182,0.981818181818182,"svmRadialSigma","unseen","class_1","class_1",0.957775552732078,0.338818443172808,"TP"
"271","asym_short_tail-beta(2,1)-55","asym_short_tail","beta(2,1)",55,0,0.27955,-0.27955,1,-0.91036,3.06325,1,0,0.672727272727273,0.981818181818182,1,"svmRadialSigma","unseen","class_1","class_1",0.797458908004381,0.338818443172808,"TP"
"280","normal(0.6)-Normal_548_328.8-55","normal(0.6)","Normal_548_328.8",55,0,-0.11759,0.11759,1,0.01932,2.41615,0,0,0.709090909090909,0.963636363636364,1,"svmRadialSigma","unseen","class_0","class_0",0.0473061692802222,0.338818443172808,"TN"
"285","normal(0.6)-Normal_-605_363-55","normal(0.6)","Normal_-605_363",55,0,-0.10515,0.10515,1,0.03274,2.84049,0,0,0.727272727272727,0.945454545454545,1,"svmRadialSigma","unseen","class_0","class_0",0.0260142980815977,0.338818443172808,"TN"
"290","normal(0.6)-Normal_956_573.6-55","normal(0.6)","Normal_956_573.6",55,0,-0.06621,0.06621,1,-0.11115,2.54507,0,0,0.654545454545455,0.963636363636364,1,"svmRadialSigma","unseen","class_0","class_0",0.172691879229849,0.338818443172808,"TN"
"295","normal(0.6)-Normal_-597_358.2-55","normal(0.6)","Normal_-597_358.2",55,0,-0.02472,0.02472,1,0.16576,2.6159,0,0,0.690909090909091,0.963636363636364,1,"svmRadialSigma","unseen","class_0","class_0",0.124880057721334,0.338818443172808,"TN"
"300","normal(0.6)-Normal_-277_166.2-55","normal(0.6)","Normal_-277_166.2",55,0,0.20197,-0.20197,1,-0.27388,2.56841,0,0,0.654545454545455,0.963636363636364,1,"svmRadialSigma","unseen","class_0","class_0",0.145122383693641,0.338818443172808,"TN"
"301","close_normal-tukey(0.1)-65","close_normal","tukey(0.1)",65,0,0.1216,-0.1216,1,-0.12475,3.39049,1,0,0.707692307692308,0.938461538461538,1,"svmRadialSigma","unseen","class_1","class_1",0.70150210866141,0.338818443172808,"TP"
"306","sym_long_tail-t(1)-65","sym_long_tail","t(1)",65,0,-0.1622,0.1622,1,3.61705,22.71541,10,4,0.923076923076923,0.938461538461538,0.984615384615385,"svmRadialSigma","unseen","class_1","class_1",0.952964455604029,0.338818443172808,"TP"
"311","sym_short_tail-uniform(0,1)-65","sym_short_tail","uniform(0,1)",65,0,-0.16957,0.16957,1,0.23101,1.86261,0,0,0.584615384615385,1,1,"svmRadialSigma","unseen","class_1","class_1",0.957169706542112,0.338818443172808,"TP"
"316","asym_long_tail-Weibull(0.5,1)-65","asym_long_tail","Weibull(0.5,1)",65,0,-0.41846,0.41846,1,2.79877,11.026,4,2,0.923076923076923,0.938461538461538,0.969230769230769,"svmRadialSigma","unseen","class_1","class_1",0.952531786164255,0.338818443172808,"TP"
"321","asym_short_tail-beta(2,1)-65","asym_short_tail","beta(2,1)",65,0,0.03381,-0.03381,1,-0.10801,2.09954,0,0,0.630769230769231,1,1,"svmRadialSigma","unseen","class_1","class_1",0.770325354716569,0.338818443172808,"TP"
"330","normal(0.6)-Normal_548_328.8-65","normal(0.6)","Normal_548_328.8",65,0,-0.06734,0.06734,1,0.51885,3.76069,2,0,0.692307692307692,0.938461538461538,1,"svmRadialSigma","unseen","class_0","class_0",0.189122462414794,0.338818443172808,"TN"
"335","normal(0.6)-Normal_-605_363-65","normal(0.6)","Normal_-605_363",65,0,-0.10432,0.10432,1,-0.07287,2.54388,0,0,0.630769230769231,0.969230769230769,1,"svmRadialSigma","unseen","class_0","class_1",0.554556339756858,0.338818443172808,"FP"
"340","normal(0.6)-Normal_956_573.6-65","normal(0.6)","Normal_956_573.6",65,0,0.00031,-0.00031,1,0.27898,2.81058,0,0,0.707692307692308,0.953846153846154,1,"svmRadialSigma","unseen","class_0","class_0",0.255169766479533,0.338818443172808,"TN"
"345","normal(0.6)-Normal_-597_358.2-65","normal(0.6)","Normal_-597_358.2",65,0,0.07423,-0.07423,1,-0.0357,2.70126,0,0,0.676923076923077,0.923076923076923,1,"svmRadialSigma","unseen","class_0","class_1",0.954895179771097,0.338818443172808,"FP"
"350","normal(0.6)-Normal_-277_166.2-65","normal(0.6)","Normal_-277_166.2",65,0,-0.01438,0.01438,1,0.38043,3.36892,1,0,0.723076923076923,0.953846153846154,0.984615384615385,"svmRadialSigma","unseen","class_0","class_1",0.917562854030208,0.338818443172808,"FP"
"351","close_normal-tukey(0.1)-72","close_normal","tukey(0.1)",72,0,-0.14171,0.14171,1,0.28093,2.82572,0,0,0.722222222222222,0.930555555555556,1,"svmRadialSigma","unseen","class_1","class_0",0.251484950529577,0.338818443172808,"FN"
"356","sym_long_tail-t(1)-72","sym_long_tail","t(1)",72,0,0.02079,-0.02079,1,-0.51502,34.92769,12,7,0.972222222222222,0.972222222222222,0.972222222222222,"svmRadialSigma","unseen","class_1","class_1",0.950849636709813,0.338818443172808,"TP"
"361","sym_short_tail-uniform(0,1)-72","sym_short_tail","uniform(0,1)",72,0,-0.04109,0.04109,1,0.25093,1.91603,0,0,0.555555555555556,1,1,"svmRadialSigma","unseen","class_1","class_1",0.9746418268044,0.338818443172808,"TP"
"366","asym_long_tail-Weibull(0.5,1)-72","asym_long_tail","Weibull(0.5,1)",72,0,-0.34179,0.34179,1,3.63668,17.21567,8,6,0.916666666666667,0.930555555555556,0.972222222222222,"svmRadialSigma","unseen","class_1","class_1",0.95603229634594,0.338818443172808,"TP"
"371","asym_short_tail-beta(2,1)-72","asym_short_tail","beta(2,1)",72,0,0.18711,-0.18711,1,-0.70964,2.71267,0,0,0.652777777777778,0.972222222222222,1,"svmRadialSigma","unseen","class_1","class_1",0.363025527393976,0.338818443172808,"TP"
"380","normal(0.6)-Normal_548_328.8-72","normal(0.6)","Normal_548_328.8",72,0,0.03812,-0.03812,1,0.50157,3.6591,2,0,0.708333333333333,0.930555555555556,1,"svmRadialSigma","unseen","class_0","class_1",0.771461535077768,0.338818443172808,"FP"
"385","normal(0.6)-Normal_-605_363-72","normal(0.6)","Normal_-605_363",72,0,-0.06705,0.06705,1,0.25983,2.73492,0,0,0.694444444444444,0.944444444444444,1,"svmRadialSigma","unseen","class_0","class_0",0.0687230197833114,0.338818443172808,"TN"
"390","normal(0.6)-Normal_956_573.6-72","normal(0.6)","Normal_956_573.6",72,0,-0.04394,0.04394,1,0.3131,3.07156,1,0,0.722222222222222,0.930555555555556,1,"svmRadialSigma","unseen","class_0","class_0",0.175626344032944,0.338818443172808,"TN"
"395","normal(0.6)-Normal_-597_358.2-72","normal(0.6)","Normal_-597_358.2",72,0,0.09888,-0.09888,1,-0.0491,2.33586,0,0,0.680555555555556,0.972222222222222,1,"svmRadialSigma","unseen","class_0","class_0",0.0970444224629868,0.338818443172808,"TN"
"400","normal(0.6)-Normal_-277_166.2-72","normal(0.6)","Normal_-277_166.2",72,0,0.10578,-0.10578,1,0.06914,2.89696,0,0,0.694444444444444,0.958333333333333,1,"svmRadialSigma","unseen","class_0","class_0",0.13175862577007,0.338818443172808,"TN"
"401","close_normal-tukey(0.1)-73","close_normal","tukey(0.1)",73,0,0.07686,-0.07686,1,-0.62543,3.22594,1,0,0.684931506849315,0.958904109589041,1,"svmRadialSigma","unseen","class_1","class_0",0.102300569029566,0.338818443172808,"FN"
"406","sym_long_tail-t(1)-73","sym_long_tail","t(1)",73,0,-0.14628,0.14628,1,6.90028,54.55231,12,4,0.958904109589041,0.986301369863014,0.986301369863014,"svmRadialSigma","unseen","class_1","class_1",0.962145770848934,0.338818443172808,"TP"
"411","sym_short_tail-uniform(0,1)-73","sym_short_tail","uniform(0,1)",73,0,-0.04626,0.04626,1,-0.11685,1.67735,0,0,0.520547945205479,1,1,"svmRadialSigma","unseen","class_1","class_1",0.965073067362146,0.338818443172808,"TP"
"416","asym_long_tail-Weibull(0.5,1)-73","asym_long_tail","Weibull(0.5,1)",73,0,-0.31057,0.31057,1,3.69259,15.95552,8,6,0.931506849315068,0.945205479452055,0.945205479452055,"svmRadialSigma","unseen","class_1","class_1",0.951524320326139,0.338818443172808,"TP"
"421","asym_short_tail-beta(2,1)-73","asym_short_tail","beta(2,1)",73,0,0.02011,-0.02011,1,-0.26053,1.92474,0,0,0.602739726027397,0.986301369863014,1,"svmRadialSigma","unseen","class_1","class_1",0.708826318924039,0.338818443172808,"TP"
"430","normal(0.6)-Normal_548_328.8-73","normal(0.6)","Normal_548_328.8",73,0,0.00586,-0.00586,1,0.49253,3.3933,2,0,0.73972602739726,0.931506849315068,1,"svmRadialSigma","unseen","class_0","class_1",0.357727939960953,0.338818443172808,"FP"
"435","normal(0.6)-Normal_-605_363-73","normal(0.6)","Normal_-605_363",73,0,-0.06751,0.06751,1,0.39327,2.74686,0,0,0.712328767123288,0.945205479452055,1,"svmRadialSigma","unseen","class_0","class_0",0.082091293793891,0.338818443172808,"TN"
"440","normal(0.6)-Normal_956_573.6-73","normal(0.6)","Normal_956_573.6",73,0,0.04312,-0.04312,1,0.0411,2.77696,1,0,0.671232876712329,0.958904109589041,1,"svmRadialSigma","unseen","class_0","class_0",0.173399082568331,0.338818443172808,"TN"
"445","normal(0.6)-Normal_-597_358.2-73","normal(0.6)","Normal_-597_358.2",73,0,0.07222,-0.07222,1,-0.15377,2.36974,0,0,0.63013698630137,0.972602739726027,1,"svmRadialSigma","unseen","class_0","class_1",0.411628497840329,0.338818443172808,"FP"
"450","normal(0.6)-Normal_-277_166.2-73","normal(0.6)","Normal_-277_166.2",73,0,0.16019,-0.16019,1,-0.11651,3.30604,2,0,0.73972602739726,0.945205479452055,1,"svmRadialSigma","unseen","class_0","class_1",0.905631872809362,0.338818443172808,"FP"
"451","close_normal-tukey(0.1)-86","close_normal","tukey(0.1)",86,0,-0.00181,0.00181,1,-0.02161,2.96118,2,0,0.686046511627907,0.953488372093023,1,"svmRadialSigma","unseen","class_1","class_0",0.111298240195008,0.338818443172808,"FN"
"456","sym_long_tail-t(1)-86","sym_long_tail","t(1)",86,0,-0.08605,0.08605,1,3.74204,38.66413,12,6,0.953488372093023,0.976744186046512,0.976744186046512,"svmRadialSigma","unseen","class_1","class_1",0.952031021088291,0.338818443172808,"TP"
"461","sym_short_tail-uniform(0,1)-86","sym_short_tail","uniform(0,1)",86,0,-0.16764,0.16764,1,0.21585,1.75699,0,0,0.581395348837209,1,1,"svmRadialSigma","unseen","class_1","class_1",0.962234950176783,0.338818443172808,"TP"
"466","asym_long_tail-Weibull(0.5,1)-86","asym_long_tail","Weibull(0.5,1)",86,0,-0.3619,0.3619,1,4.22704,22.8882,5,3,0.941860465116279,0.965116279069767,0.976744186046512,"svmRadialSigma","unseen","class_1","class_1",0.961307764804491,0.338818443172808,"TP"
"471","asym_short_tail-beta(2,1)-86","asym_short_tail","beta(2,1)",86,0,0.24963,-0.24963,1,-0.86352,2.86453,0,0,0.686046511627907,0.941860465116279,1,"svmRadialSigma","unseen","class_1","class_1",0.942538948655666,0.338818443172808,"TP"
"480","normal(0.6)-Normal_548_328.8-86","normal(0.6)","Normal_548_328.8",86,0,-0.01383,0.01383,1,0.02342,2.76794,0,0,0.720930232558139,0.953488372093023,1,"svmRadialSigma","unseen","class_0","class_0",0.15464640941812,0.338818443172808,"TN"
"485","normal(0.6)-Normal_-605_363-86","normal(0.6)","Normal_-605_363",86,0,-0.01593,0.01593,1,0.06124,2.28068,0,0,0.604651162790698,0.965116279069767,1,"svmRadialSigma","unseen","class_0","class_1",0.949473396791966,0.338818443172808,"FP"
"490","normal(0.6)-Normal_956_573.6-86","normal(0.6)","Normal_956_573.6",86,0,0.08669,-0.08669,1,-0.09848,3.10396,2,0,0.720930232558139,0.965116279069767,1,"svmRadialSigma","unseen","class_0","class_0",0.214061874481604,0.338818443172808,"TN"
"495","normal(0.6)-Normal_-597_358.2-86","normal(0.6)","Normal_-597_358.2",86,0,-0.01171,0.01171,1,-0.13131,2.71085,0,0,0.674418604651163,0.941860465116279,1,"svmRadialSigma","unseen","class_0","class_0",0.242766086930407,0.338818443172808,"TN"
"500","normal(0.6)-Normal_-277_166.2-86","normal(0.6)","Normal_-277_166.2",86,0,-0.11129,0.11129,1,0.28049,2.93244,0,0,0.697674418604651,0.941860465116279,1,"svmRadialSigma","unseen","class_0","class_0",0.0917349396787655,0.338818443172808,"TN"
"501","close_normal-tukey(0.1)-91","close_normal","tukey(0.1)",91,0,0.09616,-0.09616,1,-0.3683,3.14381,2,0,0.703296703296703,0.945054945054945,1,"svmRadialSigma","unseen","class_1","class_0",0.224932622554191,0.338818443172808,"FN"
"506","sym_long_tail-t(1)-91","sym_long_tail","t(1)",91,0,-0.18005,0.18005,1,3.98584,27.31483,13,10,0.934065934065934,0.945054945054945,0.956043956043956,"svmRadialSigma","unseen","class_1","class_1",0.950037862295026,0.338818443172808,"TP"
"511","sym_short_tail-uniform(0,1)-91","sym_short_tail","uniform(0,1)",91,0,-0.09442,0.09442,1,0.18845,1.86441,0,0,0.615384615384615,1,1,"svmRadialSigma","unseen","class_1","class_1",0.986653301141013,0.338818443172808,"TP"
"516","asym_long_tail-Weibull(0.5,1)-91","asym_long_tail","Weibull(0.5,1)",91,0,-0.34685,0.34685,1,4.8189,28.24852,10,5,0.945054945054945,0.978021978021978,0.978021978021978,"svmRadialSigma","unseen","class_1","class_1",0.95589238103645,0.338818443172808,"TP"
"521","asym_short_tail-beta(2,1)-91","asym_short_tail","beta(2,1)",91,0,0.22667,-0.22667,1,-0.55027,2.17801,0,0,0.637362637362637,0.978021978021978,1,"svmRadialSigma","unseen","class_1","class_1",0.661661418092401,0.338818443172808,"TP"
"530","normal(0.6)-Normal_548_328.8-91","normal(0.6)","Normal_548_328.8",91,0,0.0717,-0.0717,1,-0.06138,2.57595,0,0,0.692307692307692,0.956043956043956,1,"svmRadialSigma","unseen","class_0","class_0",0.117705766251957,0.338818443172808,"TN"
