"","sample_id","dist_family","dist","size","mean","median","mean_median","sd","skewness","kurtosis","outliers_minor","outliers_extream","sigma_1_ratio","sigma_2_ratio","sigma_3_ratio","model","test_set","actual","predicted","score","threshold","type"
"130","normal(0.6)-Normal_548_328.8-23","normal(0.6)","Normal_548_328.8",23,0,-0.20904,0.20904,1,0.0706,2.08058,0,0,0.652173913043478,1,1,"gbm","unseen","class_0","class_1",0.547257337574721,0.453550094789808,"FP"
"135","normal(0.6)-Normal_-605_363-23","normal(0.6)","Normal_-605_363",23,0,-0.12909,0.12909,1,0.40667,2.23942,0,0,0.652173913043478,0.956521739130435,1,"gbm","unseen","class_0","class_0",0.219475586421945,0.453550094789808,"TN"
"140","normal(0.6)-Normal_956_573.6-23","normal(0.6)","Normal_956_573.6",23,0,0.11387,-0.11387,1,-0.20086,2.17364,0,0,0.695652173913043,0.956521739130435,1,"gbm","unseen","class_0","class_0",0.11925488527304,0.453550094789808,"TN"
"145","normal(0.6)-Normal_-597_358.2-23","normal(0.6)","Normal_-597_358.2",23,0,0.1186,-0.1186,1,-0.13239,2.63282,0,0,0.739130434782609,1,1,"gbm","unseen","class_0","class_0",0.310784120749342,0.453550094789808,"TN"
"150","normal(0.6)-Normal_-277_166.2-23","normal(0.6)","Normal_-277_166.2",23,0,0.10851,-0.10851,1,0.07267,2.24426,0,0,0.652173913043478,1,1,"gbm","unseen","class_0","class_0",0.259153400107425,0.453550094789808,"TN"
"151","close_normal-tukey(0.1)-31","close_normal","tukey(0.1)",31,0,-0.11584,0.11584,1,0.05855,2.08622,0,0,0.645161290322581,0.967741935483871,1,"gbm","unseen","class_1","class_0",0.17216771753653,0.453550094789808,"FN"
"156","sym_long_tail-t(1)-31","sym_long_tail","t(1)",31,0,-0.07516,0.07516,1,0.76408,5.62904,5,3,0.774193548387097,0.903225806451613,0.967741935483871,"gbm","unseen","class_1","class_1",0.84118518960555,0.453550094789808,"TP"
"161","sym_short_tail-uniform(0,1)-31","sym_short_tail","uniform(0,1)",31,0,0.00827,-0.00827,1,0.04528,1.69795,0,0,0.612903225806452,1,1,"gbm","unseen","class_1","class_1",0.713518221058424,0.453550094789808,"TP"
"166","asym_long_tail-Weibull(0.5,1)-31","asym_long_tail","Weibull(0.5,1)",31,0,-0.38871,0.38871,1,2.24345,6.89188,5,4,0.870967741935484,0.935483870967742,0.967741935483871,"gbm","unseen","class_1","class_1",0.947371043421946,0.453550094789808,"TP"
"171","asym_short_tail-beta(2,1)-31","asym_short_tail","beta(2,1)",31,0,0.29884,-0.29884,1,-0.9321,3.03822,1,0,0.67741935483871,0.935483870967742,1,"gbm","unseen","class_1","class_1",0.614024554758494,0.453550094789808,"TP"
"180","normal(0.6)-Normal_548_328.8-31","normal(0.6)","Normal_548_328.8",31,0,0.02798,-0.02798,1,-0.32995,2.23375,0,0,0.67741935483871,0.967741935483871,1,"gbm","unseen","class_0","class_0",0.200819182998157,0.453550094789808,"TN"
"185","normal(0.6)-Normal_-605_363-31","normal(0.6)","Normal_-605_363",31,0,-0.09838,0.09838,1,0.56947,3.42792,2,0,0.741935483870968,0.903225806451613,1,"gbm","unseen","class_0","class_0",0.445340087931613,0.453550094789808,"TN"
"190","normal(0.6)-Normal_956_573.6-31","normal(0.6)","Normal_956_573.6",31,0,0.05167,-0.05167,1,-0.05762,2.71533,0,0,0.709677419354839,0.967741935483871,1,"gbm","unseen","class_0","class_0",0.0401692212173343,0.453550094789808,"TN"
"195","normal(0.6)-Normal_-597_358.2-31","normal(0.6)","Normal_-597_358.2",31,0,0.07828,-0.07828,1,-0.19531,2.3324,0,0,0.612903225806452,0.967741935483871,1,"gbm","unseen","class_0","class_0",0.0610054995809529,0.453550094789808,"TN"
"200","normal(0.6)-Normal_-277_166.2-31","normal(0.6)","Normal_-277_166.2",31,0,-0.06941,0.06941,1,-0.50622,3.15207,0,0,0.741935483870968,0.935483870967742,1,"gbm","unseen","class_0","class_0",0.25880600162964,0.453550094789808,"TN"
"201","close_normal-tukey(0.1)-42","close_normal","tukey(0.1)",42,0,-0.08156,0.08156,1,0.41732,2.62867,0,0,0.642857142857143,0.976190476190476,1,"gbm","unseen","class_1","class_1",0.537993131539243,0.453550094789808,"TP"
"206","sym_long_tail-t(1)-42","sym_long_tail","t(1)",42,0,-0.11866,0.11866,1,1.20953,7.65177,6,1,0.785714285714286,0.928571428571429,0.976190476190476,"gbm","unseen","class_1","class_1",0.866866767310558,0.453550094789808,"TP"
"211","sym_short_tail-uniform(0,1)-42","sym_short_tail","uniform(0,1)",42,0,0.06875,-0.06875,1,-0.04605,1.56843,0,0,0.547619047619048,1,1,"gbm","unseen","class_1","class_1",0.601859794994125,0.453550094789808,"TP"
"216","asym_long_tail-Weibull(0.5,1)-42","asym_long_tail","Weibull(0.5,1)",42,0,-0.30967,0.30967,1,4.37439,23.91151,5,4,0.928571428571429,0.976190476190476,0.976190476190476,"gbm","unseen","class_1","class_1",0.972499954790126,0.453550094789808,"TP"
"221","asym_short_tail-beta(2,1)-42","asym_short_tail","beta(2,1)",42,0,0.28032,-0.28032,1,-0.98184,3.15998,2,0,0.69047619047619,0.928571428571429,1,"gbm","unseen","class_1","class_1",0.716219799947787,0.453550094789808,"TP"
"230","normal(0.6)-Normal_548_328.8-42","normal(0.6)","Normal_548_328.8",42,0,-0.09526,0.09526,1,-0.24381,3.70124,1,0,0.738095238095238,0.904761904761905,1,"gbm","unseen","class_0","class_1",0.604812644647274,0.453550094789808,"FP"
"235","normal(0.6)-Normal_-605_363-42","normal(0.6)","Normal_-605_363",42,0,0.09682,-0.09682,1,-0.3524,2.86218,0,0,0.761904761904762,0.952380952380952,1,"gbm","unseen","class_0","class_0",0.0345581356252935,0.453550094789808,"TN"
"240","normal(0.6)-Normal_956_573.6-42","normal(0.6)","Normal_956_573.6",42,0,0.09339,-0.09339,1,-0.01885,2.66714,0,0,0.642857142857143,0.952380952380952,1,"gbm","unseen","class_0","class_0",0.0237136342984032,0.453550094789808,"TN"
"245","normal(0.6)-Normal_-597_358.2-42","normal(0.6)","Normal_-597_358.2",42,0,0.06407,-0.06407,1,-0.1466,2.00679,0,0,0.595238095238095,1,1,"gbm","unseen","class_0","class_1",0.559987164178271,0.453550094789808,"FP"
"250","normal(0.6)-Normal_-277_166.2-42","normal(0.6)","Normal_-277_166.2",42,0,-0.17996,0.17996,1,0.46895,2.94615,1,0,0.714285714285714,0.976190476190476,1,"gbm","unseen","class_0","class_0",0.365721391833137,0.453550094789808,"TN"
"251","close_normal-tukey(0.1)-55","close_normal","tukey(0.1)",55,0,0.15779,-0.15779,1,-0.19133,2.55045,0,0,0.709090909090909,1,1,"gbm","unseen","class_1","class_1",0.56048159391253,0.453550094789808,"TP"
"256","sym_long_tail-t(1)-55","sym_long_tail","t(1)",55,0,0.05037,-0.05037,1,0.04362,10.68536,7,5,0.890909090909091,0.927272727272727,0.945454545454545,"gbm","unseen","class_1","class_1",0.897529605165552,0.453550094789808,"TP"
"261","sym_short_tail-uniform(0,1)-55","sym_short_tail","uniform(0,1)",55,0,-0.14596,0.14596,1,0.33041,1.9618,0,0,0.6,1,1,"gbm","unseen","class_1","class_1",0.821311073444131,0.453550094789808,"TP"
"266","asym_long_tail-Weibull(0.5,1)-55","asym_long_tail","Weibull(0.5,1)",55,0,-0.31085,0.31085,1,5.28199,33.99901,4,2,0.927272727272727,0.981818181818182,0.981818181818182,"gbm","unseen","class_1","class_1",0.974759962877298,0.453550094789808,"TP"
"271","asym_short_tail-beta(2,1)-55","asym_short_tail","beta(2,1)",55,0,0.27955,-0.27955,1,-0.91036,3.06325,1,0,0.672727272727273,0.981818181818182,1,"gbm","unseen","class_1","class_0",0.117949947462841,0.453550094789808,"FN"
"280","normal(0.6)-Normal_548_328.8-55","normal(0.6)","Normal_548_328.8",55,0,-0.11759,0.11759,1,0.01932,2.41615,0,0,0.709090909090909,0.963636363636364,1,"gbm","unseen","class_0","class_0",0.149883825942759,0.453550094789808,"TN"
"285","normal(0.6)-Normal_-605_363-55","normal(0.6)","Normal_-605_363",55,0,-0.10515,0.10515,1,0.03274,2.84049,0,0,0.727272727272727,0.945454545454545,1,"gbm","unseen","class_0","class_0",0.032099371951782,0.453550094789808,"TN"
"290","normal(0.6)-Normal_956_573.6-55","normal(0.6)","Normal_956_573.6",55,0,-0.06621,0.06621,1,-0.11115,2.54507,0,0,0.654545454545455,0.963636363636364,1,"gbm","unseen","class_0","class_0",0.120751355391283,0.453550094789808,"TN"
"295","normal(0.6)-Normal_-597_358.2-55","normal(0.6)","Normal_-597_358.2",55,0,-0.02472,0.02472,1,0.16576,2.6159,0,0,0.690909090909091,0.963636363636364,1,"gbm","unseen","class_0","class_0",0.0747192202446491,0.453550094789808,"TN"
"300","normal(0.6)-Normal_-277_166.2-55","normal(0.6)","Normal_-277_166.2",55,0,0.20197,-0.20197,1,-0.27388,2.56841,0,0,0.654545454545455,0.963636363636364,1,"gbm","unseen","class_0","class_0",0.240872935013673,0.453550094789808,"TN"
"301","close_normal-tukey(0.1)-65","close_normal","tukey(0.1)",65,0,0.1216,-0.1216,1,-0.12475,3.39049,1,0,0.707692307692308,0.938461538461538,1,"gbm","unseen","class_1","class_0",0.293426514799859,0.453550094789808,"FN"
"306","sym_long_tail-t(1)-65","sym_long_tail","t(1)",65,0,-0.1622,0.1622,1,3.61705,22.71541,10,4,0.923076923076923,0.938461538461538,0.984615384615385,"gbm","unseen","class_1","class_1",0.911205708085106,0.453550094789808,"TP"
"311","sym_short_tail-uniform(0,1)-65","sym_short_tail","uniform(0,1)",65,0,-0.16957,0.16957,1,0.23101,1.86261,0,0,0.584615384615385,1,1,"gbm","unseen","class_1","class_1",0.881727838944391,0.453550094789808,"TP"
"316","asym_long_tail-Weibull(0.5,1)-65","asym_long_tail","Weibull(0.5,1)",65,0,-0.41846,0.41846,1,2.79877,11.026,4,2,0.923076923076923,0.938461538461538,0.969230769230769,"gbm","unseen","class_1","class_1",0.963716692896554,0.453550094789808,"TP"
"321","asym_short_tail-beta(2,1)-65","asym_short_tail","beta(2,1)",65,0,0.03381,-0.03381,1,-0.10801,2.09954,0,0,0.630769230769231,1,1,"gbm","unseen","class_1","class_1",0.566597536790641,0.453550094789808,"TP"
"330","normal(0.6)-Normal_548_328.8-65","normal(0.6)","Normal_548_328.8",65,0,-0.06734,0.06734,1,0.51885,3.76069,2,0,0.692307692307692,0.938461538461538,1,"gbm","unseen","class_0","class_1",0.782089869493564,0.453550094789808,"FP"
"335","normal(0.6)-Normal_-605_363-65","normal(0.6)","Normal_-605_363",65,0,-0.10432,0.10432,1,-0.07287,2.54388,0,0,0.630769230769231,0.969230769230769,1,"gbm","unseen","class_0","class_0",0.30620404273854,0.453550094789808,"TN"
"340","normal(0.6)-Normal_956_573.6-65","normal(0.6)","Normal_956_573.6",65,0,0.00031,-0.00031,1,0.27898,2.81058,0,0,0.707692307692308,0.953846153846154,1,"gbm","unseen","class_0","class_0",0.0573582760304128,0.453550094789808,"TN"
"345","normal(0.6)-Normal_-597_358.2-65","normal(0.6)","Normal_-597_358.2",65,0,0.07423,-0.07423,1,-0.0357,2.70126,0,0,0.676923076923077,0.923076923076923,1,"gbm","unseen","class_0","class_0",0.308539947832256,0.453550094789808,"TN"
"350","normal(0.6)-Normal_-277_166.2-65","normal(0.6)","Normal_-277_166.2",65,0,-0.01438,0.01438,1,0.38043,3.36892,1,0,0.723076923076923,0.953846153846154,0.984615384615385,"gbm","unseen","class_0","class_1",0.469552544563114,0.453550094789808,"FP"
"351","close_normal-tukey(0.1)-72","close_normal","tukey(0.1)",72,0,-0.14171,0.14171,1,0.28093,2.82572,0,0,0.722222222222222,0.930555555555556,1,"gbm","unseen","class_1","class_1",0.627522153013726,0.453550094789808,"TP"
"356","sym_long_tail-t(1)-72","sym_long_tail","t(1)",72,0,0.02079,-0.02079,1,-0.51502,34.92769,12,7,0.972222222222222,0.972222222222222,0.972222222222222,"gbm","unseen","class_1","class_1",0.949598482994856,0.453550094789808,"TP"
"361","sym_short_tail-uniform(0,1)-72","sym_short_tail","uniform(0,1)",72,0,-0.04109,0.04109,1,0.25093,1.91603,0,0,0.555555555555556,1,1,"gbm","unseen","class_1","class_1",0.931884795567202,0.453550094789808,"TP"
"366","asym_long_tail-Weibull(0.5,1)-72","asym_long_tail","Weibull(0.5,1)",72,0,-0.34179,0.34179,1,3.63668,17.21567,8,6,0.916666666666667,0.930555555555556,0.972222222222222,"gbm","unseen","class_1","class_1",0.976212780374317,0.453550094789808,"TP"
"371","asym_short_tail-beta(2,1)-72","asym_short_tail","beta(2,1)",72,0,0.18711,-0.18711,1,-0.70964,2.71267,0,0,0.652777777777778,0.972222222222222,1,"gbm","unseen","class_1","class_0",0.367313814293291,0.453550094789808,"FN"
"380","normal(0.6)-Normal_548_328.8-72","normal(0.6)","Normal_548_328.8",72,0,0.03812,-0.03812,1,0.50157,3.6591,2,0,0.708333333333333,0.930555555555556,1,"gbm","unseen","class_0","class_1",0.908425326808412,0.453550094789808,"FP"
"385","normal(0.6)-Normal_-605_363-72","normal(0.6)","Normal_-605_363",72,0,-0.06705,0.06705,1,0.25983,2.73492,0,0,0.694444444444444,0.944444444444444,1,"gbm","unseen","class_0","class_0",0.242720142529925,0.453550094789808,"TN"
"390","normal(0.6)-Normal_956_573.6-72","normal(0.6)","Normal_956_573.6",72,0,-0.04394,0.04394,1,0.3131,3.07156,1,0,0.722222222222222,0.930555555555556,1,"gbm","unseen","class_0","class_1",0.590778798929549,0.453550094789808,"FP"
"395","normal(0.6)-Normal_-597_358.2-72","normal(0.6)","Normal_-597_358.2",72,0,0.09888,-0.09888,1,-0.0491,2.33586,0,0,0.680555555555556,0.972222222222222,1,"gbm","unseen","class_0","class_0",0.151122272851825,0.453550094789808,"TN"
"400","normal(0.6)-Normal_-277_166.2-72","normal(0.6)","Normal_-277_166.2",72,0,0.10578,-0.10578,1,0.06914,2.89696,0,0,0.694444444444444,0.958333333333333,1,"gbm","unseen","class_0","class_0",0.0892196714136109,0.453550094789808,"TN"
"401","close_normal-tukey(0.1)-73","close_normal","tukey(0.1)",73,0,0.07686,-0.07686,1,-0.62543,3.22594,1,0,0.684931506849315,0.958904109589041,1,"gbm","unseen","class_1","class_0",0.0841442801360504,0.453550094789808,"FN"
"406","sym_long_tail-t(1)-73","sym_long_tail","t(1)",73,0,-0.14628,0.14628,1,6.90028,54.55231,12,4,0.958904109589041,0.986301369863014,0.986301369863014,"gbm","unseen","class_1","class_1",0.984625130866079,0.453550094789808,"TP"
"411","sym_short_tail-uniform(0,1)-73","sym_short_tail","uniform(0,1)",73,0,-0.04626,0.04626,1,-0.11685,1.67735,0,0,0.520547945205479,1,1,"gbm","unseen","class_1","class_1",0.909286543596664,0.453550094789808,"TP"
"416","asym_long_tail-Weibull(0.5,1)-73","asym_long_tail","Weibull(0.5,1)",73,0,-0.31057,0.31057,1,3.69259,15.95552,8,6,0.931506849315068,0.945205479452055,0.945205479452055,"gbm","unseen","class_1","class_1",0.978260400423833,0.453550094789808,"TP"
"421","asym_short_tail-beta(2,1)-73","asym_short_tail","beta(2,1)",73,0,0.02011,-0.02011,1,-0.26053,1.92474,0,0,0.602739726027397,0.986301369863014,1,"gbm","unseen","class_1","class_1",0.934431110406994,0.453550094789808,"TP"
"430","normal(0.6)-Normal_548_328.8-73","normal(0.6)","Normal_548_328.8",73,0,0.00586,-0.00586,1,0.49253,3.3933,2,0,0.73972602739726,0.931506849315068,1,"gbm","unseen","class_0","class_1",0.925042054889772,0.453550094789808,"FP"
"435","normal(0.6)-Normal_-605_363-73","normal(0.6)","Normal_-605_363",73,0,-0.06751,0.06751,1,0.39327,2.74686,0,0,0.712328767123288,0.945205479452055,1,"gbm","unseen","class_0","class_1",0.642491650574614,0.453550094789808,"FP"
"440","normal(0.6)-Normal_956_573.6-73","normal(0.6)","Normal_956_573.6",73,0,0.04312,-0.04312,1,0.0411,2.77696,1,0,0.671232876712329,0.958904109589041,1,"gbm","unseen","class_0","class_0",0.108294263103172,0.453550094789808,"TN"
"445","normal(0.6)-Normal_-597_358.2-73","normal(0.6)","Normal_-597_358.2",73,0,0.07222,-0.07222,1,-0.15377,2.36974,0,0,0.63013698630137,0.972602739726027,1,"gbm","unseen","class_0","class_0",0.385325505131538,0.453550094789808,"TN"
"450","normal(0.6)-Normal_-277_166.2-73","normal(0.6)","Normal_-277_166.2",73,0,0.16019,-0.16019,1,-0.11651,3.30604,2,0,0.73972602739726,0.945205479452055,1,"gbm","unseen","class_0","class_0",0.313792032805116,0.453550094789808,"TN"
"451","close_normal-tukey(0.1)-86","close_normal","tukey(0.1)",86,0,-0.00181,0.00181,1,-0.02161,2.96118,2,0,0.686046511627907,0.953488372093023,1,"gbm","unseen","class_1","class_0",0.0330346289170641,0.453550094789808,"FN"
"456","sym_long_tail-t(1)-86","sym_long_tail","t(1)",86,0,-0.08605,0.08605,1,3.74204,38.66413,12,6,0.953488372093023,0.976744186046512,0.976744186046512,"gbm","unseen","class_1","class_1",0.980492963081742,0.453550094789808,"TP"
"461","sym_short_tail-uniform(0,1)-86","sym_short_tail","uniform(0,1)",86,0,-0.16764,0.16764,1,0.21585,1.75699,0,0,0.581395348837209,1,1,"gbm","unseen","class_1","class_1",0.927999276495443,0.453550094789808,"TP"
"466","asym_long_tail-Weibull(0.5,1)-86","asym_long_tail","Weibull(0.5,1)",86,0,-0.3619,0.3619,1,4.22704,22.8882,5,3,0.941860465116279,0.965116279069767,0.976744186046512,"gbm","unseen","class_1","class_1",0.982936684426304,0.453550094789808,"TP"
"471","asym_short_tail-beta(2,1)-86","asym_short_tail","beta(2,1)",86,0,0.24963,-0.24963,1,-0.86352,2.86453,0,0,0.686046511627907,0.941860465116279,1,"gbm","unseen","class_1","class_1",0.70390558630861,0.453550094789808,"TP"
"480","normal(0.6)-Normal_548_328.8-86","normal(0.6)","Normal_548_328.8",86,0,-0.01383,0.01383,1,0.02342,2.76794,0,0,0.720930232558139,0.953488372093023,1,"gbm","unseen","class_0","class_0",0.0488330679448276,0.453550094789808,"TN"
"485","normal(0.6)-Normal_-605_363-86","normal(0.6)","Normal_-605_363",86,0,-0.01593,0.01593,1,0.06124,2.28068,0,0,0.604651162790698,0.965116279069767,1,"gbm","unseen","class_0","class_0",0.408956475482188,0.453550094789808,"TN"
"490","normal(0.6)-Normal_956_573.6-86","normal(0.6)","Normal_956_573.6",86,0,0.08669,-0.08669,1,-0.09848,3.10396,2,0,0.720930232558139,0.965116279069767,1,"gbm","unseen","class_0","class_0",0.0351984096876412,0.453550094789808,"TN"
"495","normal(0.6)-Normal_-597_358.2-86","normal(0.6)","Normal_-597_358.2",86,0,-0.01171,0.01171,1,-0.13131,2.71085,0,0,0.674418604651163,0.941860465116279,1,"gbm","unseen","class_0","class_0",0.289789003976547,0.453550094789808,"TN"
"500","normal(0.6)-Normal_-277_166.2-86","normal(0.6)","Normal_-277_166.2",86,0,-0.11129,0.11129,1,0.28049,2.93244,0,0,0.697674418604651,0.941860465116279,1,"gbm","unseen","class_0","class_0",0.154800280600021,0.453550094789808,"TN"
"501","close_normal-tukey(0.1)-91","close_normal","tukey(0.1)",91,0,0.09616,-0.09616,1,-0.3683,3.14381,2,0,0.703296703296703,0.945054945054945,1,"gbm","unseen","class_1","class_0",0.0744770876935572,0.453550094789808,"FN"
"506","sym_long_tail-t(1)-91","sym_long_tail","t(1)",91,0,-0.18005,0.18005,1,3.98584,27.31483,13,10,0.934065934065934,0.945054945054945,0.956043956043956,"gbm","unseen","class_1","class_1",0.972552394139858,0.453550094789808,"TP"
"511","sym_short_tail-uniform(0,1)-91","sym_short_tail","uniform(0,1)",91,0,-0.09442,0.09442,1,0.18845,1.86441,0,0,0.615384615384615,1,1,"gbm","unseen","class_1","class_1",0.917994738167851,0.453550094789808,"TP"
"516","asym_long_tail-Weibull(0.5,1)-91","asym_long_tail","Weibull(0.5,1)",91,0,-0.34685,0.34685,1,4.8189,28.24852,10,5,0.945054945054945,0.978021978021978,0.978021978021978,"gbm","unseen","class_1","class_1",0.983376970225112,0.453550094789808,"TP"
"521","asym_short_tail-beta(2,1)-91","asym_short_tail","beta(2,1)",91,0,0.22667,-0.22667,1,-0.55027,2.17801,0,0,0.637362637362637,0.978021978021978,1,"gbm","unseen","class_1","class_1",0.878015054510643,0.453550094789808,"TP"
"530","normal(0.6)-Normal_548_328.8-91","normal(0.6)","Normal_548_328.8",91,0,0.0717,-0.0717,1,-0.06138,2.57595,0,0,0.692307692307692,0.956043956043956,1,"gbm","unseen","class_0","class_0",0.112538500187441,0.453550094789808,"TN"
"535","normal(0.6)-Normal_-605_363-91","normal(0.6)","Normal_-605_363",91,0,-0.03036,0.03036,1,0.16286,2.08378,0,0,0.582417582417582,1,1,"gbm","unseen","class_0","class_1",0.771516183644539,0.453550094789808,"FP"
"540","normal(0.6)-Normal_956_573.6-91","normal(0.6)","Normal_956_573.6",91,0,0.08012,-0.08012,1,-0.09768,2.47028,0,0,0.681318681318681,0.956043956043956,1,"gbm","unseen","class_0","class_0",0.0856399189072565,0.453550094789808,"TN"
"545","normal(0.6)-Normal_-597_358.2-91","normal(0.6)","Normal_-597_358.2",91,0,0.04907,-0.04907,1,0.16488,2.68929,0,0,0.703296703296703,0.967032967032967,1,"gbm","unseen","class_0","class_0",0.399517254984931,0.453550094789808,"TN"
"550","normal(0.6)-Normal_-277_166.2-91","normal(0.6)","Normal_-277_166.2",91,0,0.06995,-0.06995,1,-0.52803,2.73152,0,0,0.67032967032967,0.956043956043956,1,"gbm","unseen","class_0","class_0",0.13319103020294,0.453550094789808,"TN"
