"","sample_id","dist_family","dist","size","mean","median","mean_median_diff","sd","skewness","kurtosis","outliers_minor_ratio","outliers_extream_ratio","sigma_1_ratio","sigma_2_ratio","sigma_3_ratio","model","test_set","actual","predicted","score","threshold","type"
"66","asym_long_tail-Weibull(0.5,1)-16","asym_long_tail","Weibull(0.5,1)",16,0,-0.3208,0.3208,1,3.25906,12.41207,0.0625,0.0625,0.9375,0.9375,0.9375,"svmRadialSigma","unseen","class_1","class_1",0.96011868952581,0.468671536447808,"TP"
"71","asym_short_tail-beta(2,1)-16","asym_short_tail","beta(2,1)",16,0,0.12647,0.12647,1,-0.38288,1.90342,0,0,0.6875,1,1,"svmRadialSigma","unseen","class_1","class_0",0.25733139074518,0.468671536447808,"FN"
"79","normal(0.6)-Normal_548_328.8-16","normal(0.6)","Normal_548_328.8",16,0,0.13788,0.13788,1,-0.08788,3.25455,0,0,0.8125,0.875,1,"svmRadialSigma","unseen","class_0","class_1",0.942854232992158,0.468671536447808,"FP"
"84","normal(0.6)-Normal_-605_363-16","normal(0.6)","Normal_-605_363",16,0,-0.02583,0.02583,1,-0.26344,2.39487,0,0,0.75,0.9375,1,"svmRadialSigma","unseen","class_0","class_1",0.484517624844321,0.468671536447808,"FP"
"89","normal(0.6)-Normal_956_573.6-16","normal(0.6)","Normal_956_573.6",16,0,-0.04562,0.04562,1,0.41699,2.23308,0,0,0.625,0.9375,1,"svmRadialSigma","unseen","class_0","class_1",0.987218613610267,0.468671536447808,"FP"
"94","normal(0.6)-Normal_-597_358.2-16","normal(0.6)","Normal_-597_358.2",16,0,-0.1702,0.1702,1,1.2475,4.83414,0.0625,0.0625,0.75,0.9375,1,"svmRadialSigma","unseen","class_0","class_1",0.925532933369829,0.468671536447808,"FP"
"99","normal(0.6)-Normal_-277_166.2-16","normal(0.6)","Normal_-277_166.2",16,0,-0.15536,0.15536,1,0.78056,2.71291,0,0,0.75,0.9375,1,"svmRadialSigma","unseen","class_0","class_1",0.821469902372797,0.468671536447808,"FP"
"101","close_normal-tukey(0.1)-23","close_normal","tukey(0.1)",23,0,-0.02939,0.02939,1,-0.20891,1.88734,0,0,0.608695652173913,1,1,"svmRadialSigma","unseen","class_1","class_1",0.938752716688649,0.468671536447808,"TP"
"106","sym_long_tail-t(1)-23","sym_long_tail","t(1)",23,0,-0.08432,0.08432,1,0.91559,7.27317,0.260869565217391,0.0869565217391304,0.782608695652174,0.91304347826087,0.956521739130435,"svmRadialSigma","unseen","class_1","class_1",0.950340638173099,0.468671536447808,"TP"
"111","sym_short_tail-uniform(0,1)-23","sym_short_tail","uniform(0,1)",23,0,0.20495,0.20495,1,-0.2137,1.7085,0,0,0.652173913043478,1,1,"svmRadialSigma","unseen","class_1","class_1",0.96165189848241,0.468671536447808,"TP"
"116","asym_long_tail-Weibull(0.5,1)-23","asym_long_tail","Weibull(0.5,1)",23,0,-0.3058,0.3058,1,2.18095,8.29662,0.0434782608695652,0,0.91304347826087,0.956521739130435,0.956521739130435,"svmRadialSigma","unseen","class_1","class_1",0.958552356865707,0.468671536447808,"TP"
"121","asym_short_tail-beta(2,1)-23","asym_short_tail","beta(2,1)",23,0,0.10687,0.10687,1,-0.18066,1.82962,0,0,0.565217391304348,1,1,"svmRadialSigma","unseen","class_1","class_1",0.968185223394114,0.468671536447808,"TP"
"129","normal(0.6)-Normal_548_328.8-23","normal(0.6)","Normal_548_328.8",23,0,0.021,0.021,1,0.1971,1.93102,0,0,0.608695652173913,0.956521739130435,1,"svmRadialSigma","unseen","class_0","class_1",0.804233058048238,0.468671536447808,"FP"
"134","normal(0.6)-Normal_-605_363-23","normal(0.6)","Normal_-605_363",23,0,-0.18159,0.18159,1,-0.34275,3.66514,0.0434782608695652,0,0.826086956521739,0.956521739130435,1,"svmRadialSigma","unseen","class_0","class_1",0.945747779826048,0.468671536447808,"FP"
"139","normal(0.6)-Normal_956_573.6-23","normal(0.6)","Normal_956_573.6",23,0,-0.17606,0.17606,1,0.83901,4.48165,0.0434782608695652,0,0.782608695652174,0.956521739130435,1,"svmRadialSigma","unseen","class_0","class_1",0.951695645613369,0.468671536447808,"FP"
"144","normal(0.6)-Normal_-597_358.2-23","normal(0.6)","Normal_-597_358.2",23,0,-0.08576,0.08576,1,-0.16707,1.79901,0,0,0.652173913043478,1,1,"svmRadialSigma","unseen","class_0","class_1",0.941455794237753,0.468671536447808,"FP"
"149","normal(0.6)-Normal_-277_166.2-23","normal(0.6)","Normal_-277_166.2",23,0,0.1474,0.1474,1,0.55096,2.75533,0,0,0.608695652173913,0.956521739130435,1,"svmRadialSigma","unseen","class_0","class_0",0.45892844619605,0.468671536447808,"TN"
"151","close_normal-tukey(0.1)-31","close_normal","tukey(0.1)",31,0,-0.11584,0.11584,1,0.05855,2.08622,0,0,0.645161290322581,0.967741935483871,1,"svmRadialSigma","unseen","class_1","class_1",0.842531535630489,0.468671536447808,"TP"
"156","sym_long_tail-t(1)-31","sym_long_tail","t(1)",31,0,-0.07516,0.07516,1,0.76408,5.62904,0.161290322580645,0.0967741935483871,0.774193548387097,0.903225806451613,0.967741935483871,"svmRadialSigma","unseen","class_1","class_1",0.953051996573099,0.468671536447808,"TP"
"161","sym_short_tail-uniform(0,1)-31","sym_short_tail","uniform(0,1)",31,0,0.00827,0.00827,1,0.04528,1.69795,0,0,0.612903225806452,1,1,"svmRadialSigma","unseen","class_1","class_1",0.94235493170791,0.468671536447808,"TP"
"166","asym_long_tail-Weibull(0.5,1)-31","asym_long_tail","Weibull(0.5,1)",31,0,-0.38871,0.38871,1,2.24345,6.89188,0.161290322580645,0.129032258064516,0.870967741935484,0.935483870967742,0.967741935483871,"svmRadialSigma","unseen","class_1","class_1",0.9545787565536,0.468671536447808,"TP"
"171","asym_short_tail-beta(2,1)-31","asym_short_tail","beta(2,1)",31,0,0.29884,0.29884,1,-0.9321,3.03822,0.032258064516129,0,0.67741935483871,0.935483870967742,1,"svmRadialSigma","unseen","class_1","class_1",0.922138339038924,0.468671536447808,"TP"
"179","normal(0.6)-Normal_548_328.8-31","normal(0.6)","Normal_548_328.8",31,0,0.2535,0.2535,1,-0.09489,2.52924,0,0,0.709677419354839,0.967741935483871,1,"svmRadialSigma","unseen","class_0","class_1",0.711009907177743,0.468671536447808,"FP"
"184","normal(0.6)-Normal_-605_363-31","normal(0.6)","Normal_-605_363",31,0,-0.07741,0.07741,1,-0.00156,2.47449,0,0,0.67741935483871,0.967741935483871,1,"svmRadialSigma","unseen","class_0","class_0",0.380172709746532,0.468671536447808,"TN"
"189","normal(0.6)-Normal_956_573.6-31","normal(0.6)","Normal_956_573.6",31,0,0.24006,0.24006,1,-0.36744,2.01002,0,0,0.645161290322581,0.967741935483871,1,"svmRadialSigma","unseen","class_0","class_1",0.895514047864821,0.468671536447808,"FP"
"194","normal(0.6)-Normal_-597_358.2-31","normal(0.6)","Normal_-597_358.2",31,0,-0.00973,0.00973,1,-0.01065,2.19014,0,0,0.612903225806452,1,1,"svmRadialSigma","unseen","class_0","class_1",0.946809138222031,0.468671536447808,"FP"
"199","normal(0.6)-Normal_-277_166.2-31","normal(0.6)","Normal_-277_166.2",31,0,-0.13296,0.13296,1,0.52536,2.39786,0,0,0.709677419354839,0.967741935483871,1,"svmRadialSigma","unseen","class_0","class_1",0.74820048855018,0.468671536447808,"FP"
"201","close_normal-tukey(0.1)-42","close_normal","tukey(0.1)",42,0,-0.08156,0.08156,1,0.41732,2.62867,0,0,0.642857142857143,0.976190476190476,1,"svmRadialSigma","unseen","class_1","class_1",0.918446250161994,0.468671536447808,"TP"
"206","sym_long_tail-t(1)-42","sym_long_tail","t(1)",42,0,-0.11866,0.11866,1,1.20953,7.65177,0.142857142857143,0.0238095238095238,0.785714285714286,0.928571428571429,0.976190476190476,"svmRadialSigma","unseen","class_1","class_1",0.962842504266914,0.468671536447808,"TP"
"211","sym_short_tail-uniform(0,1)-42","sym_short_tail","uniform(0,1)",42,0,0.06875,0.06875,1,-0.04605,1.56843,0,0,0.547619047619048,1,1,"svmRadialSigma","unseen","class_1","class_1",0.970163278492154,0.468671536447808,"TP"
"216","asym_long_tail-Weibull(0.5,1)-42","asym_long_tail","Weibull(0.5,1)",42,0,-0.30967,0.30967,1,4.37439,23.91151,0.119047619047619,0.0952380952380952,0.928571428571429,0.976190476190476,0.976190476190476,"svmRadialSigma","unseen","class_1","class_1",0.958383880713695,0.468671536447808,"TP"
"221","asym_short_tail-beta(2,1)-42","asym_short_tail","beta(2,1)",42,0,0.28032,0.28032,1,-0.98184,3.15998,0.0476190476190476,0,0.69047619047619,0.928571428571429,1,"svmRadialSigma","unseen","class_1","class_1",0.933999763075827,0.468671536447808,"TP"
"229","normal(0.6)-Normal_548_328.8-42","normal(0.6)","Normal_548_328.8",42,0,0.01293,0.01293,1,-0.03911,2.93934,0,0,0.785714285714286,0.928571428571429,1,"svmRadialSigma","unseen","class_0","class_1",0.965152058679654,0.468671536447808,"FP"
"234","normal(0.6)-Normal_-605_363-42","normal(0.6)","Normal_-605_363",42,0,-0.16175,0.16175,1,0.48249,2.47033,0,0,0.642857142857143,0.976190476190476,1,"svmRadialSigma","unseen","class_0","class_1",0.940739635962973,0.468671536447808,"FP"
"239","normal(0.6)-Normal_956_573.6-42","normal(0.6)","Normal_956_573.6",42,0,0.0463,0.0463,1,0.11427,2.30761,0,0,0.69047619047619,0.976190476190476,1,"svmRadialSigma","unseen","class_0","class_0",0.0802192433947843,0.468671536447808,"TN"
"244","normal(0.6)-Normal_-597_358.2-42","normal(0.6)","Normal_-597_358.2",42,0,0.11416,0.11416,1,-0.70299,4.28495,0.0476190476190476,0,0.761904761904762,0.952380952380952,1,"svmRadialSigma","unseen","class_0","class_0",0.415993223831644,0.468671536447808,"TN"
"249","normal(0.6)-Normal_-277_166.2-42","normal(0.6)","Normal_-277_166.2",42,0,-0.05575,0.05575,1,-0.30674,3.89067,0.0476190476190476,0,0.714285714285714,0.928571428571429,1,"svmRadialSigma","unseen","class_0","class_0",0.154233265253164,0.468671536447808,"TN"
"251","close_normal-tukey(0.1)-55","close_normal","tukey(0.1)",55,0,0.15779,0.15779,1,-0.19133,2.55045,0,0,0.709090909090909,1,1,"svmRadialSigma","unseen","class_1","class_1",0.56183109091968,0.468671536447808,"TP"
"256","sym_long_tail-t(1)-55","sym_long_tail","t(1)",55,0,0.05037,0.05037,1,0.04362,10.68536,0.127272727272727,0.0909090909090909,0.890909090909091,0.927272727272727,0.945454545454545,"svmRadialSigma","unseen","class_1","class_1",0.950334636781872,0.468671536447808,"TP"
"261","sym_short_tail-uniform(0,1)-55","sym_short_tail","uniform(0,1)",55,0,-0.14596,0.14596,1,0.33041,1.9618,0,0,0.6,1,1,"svmRadialSigma","unseen","class_1","class_1",0.964627637776482,0.468671536447808,"TP"
"266","asym_long_tail-Weibull(0.5,1)-55","asym_long_tail","Weibull(0.5,1)",55,0,-0.31085,0.31085,1,5.28199,33.99901,0.0727272727272727,0.0363636363636364,0.927272727272727,0.981818181818182,0.981818181818182,"svmRadialSigma","unseen","class_1","class_1",0.955421817063515,0.468671536447808,"TP"
"271","asym_short_tail-beta(2,1)-55","asym_short_tail","beta(2,1)",55,0,0.27955,0.27955,1,-0.91036,3.06325,0.0181818181818182,0,0.672727272727273,0.981818181818182,1,"svmRadialSigma","unseen","class_1","class_1",0.93646736340503,0.468671536447808,"TP"
"279","normal(0.6)-Normal_548_328.8-55","normal(0.6)","Normal_548_328.8",55,0,-0.16291,0.16291,1,0.12859,3.43056,0.0181818181818182,0,0.672727272727273,0.927272727272727,1,"svmRadialSigma","unseen","class_0","class_1",0.961195530860283,0.468671536447808,"FP"
"284","normal(0.6)-Normal_-605_363-55","normal(0.6)","Normal_-605_363",55,0,0.11408,0.11408,1,0.07398,2.2454,0,0,0.636363636363636,0.963636363636364,1,"svmRadialSigma","unseen","class_0","class_0",0.133651571930769,0.468671536447808,"TN"
"289","normal(0.6)-Normal_956_573.6-55","normal(0.6)","Normal_956_573.6",55,0,-0.1021,0.1021,1,-0.06207,3.34954,0,0,0.745454545454545,0.945454545454545,1,"svmRadialSigma","unseen","class_0","class_0",0.19700733758,0.468671536447808,"TN"
"294","normal(0.6)-Normal_-597_358.2-55","normal(0.6)","Normal_-597_358.2",55,0,-0.13068,0.13068,1,0.08559,3.37591,0.0363636363636364,0,0.654545454545455,0.945454545454545,1,"svmRadialSigma","unseen","class_0","class_1",0.900822088885221,0.468671536447808,"FP"
"299","normal(0.6)-Normal_-277_166.2-55","normal(0.6)","Normal_-277_166.2",55,0,0.04083,0.04083,1,0.07943,2.29533,0,0,0.672727272727273,0.981818181818182,1,"svmRadialSigma","unseen","class_0","class_0",0.0906536429322715,0.468671536447808,"TN"
"301","close_normal-tukey(0.1)-65","close_normal","tukey(0.1)",65,0,0.1216,0.1216,1,-0.12475,3.39049,0.0153846153846154,0,0.707692307692308,0.938461538461538,1,"svmRadialSigma","unseen","class_1","class_0",0.142162566558535,0.468671536447808,"FN"
"306","sym_long_tail-t(1)-65","sym_long_tail","t(1)",65,0,-0.1622,0.1622,1,3.61705,22.71541,0.153846153846154,0.0615384615384615,0.923076923076923,0.938461538461538,0.984615384615385,"svmRadialSigma","unseen","class_1","class_1",0.95183187648802,0.468671536447808,"TP"
"311","sym_short_tail-uniform(0,1)-65","sym_short_tail","uniform(0,1)",65,0,-0.16957,0.16957,1,0.23101,1.86261,0,0,0.584615384615385,1,1,"svmRadialSigma","unseen","class_1","class_1",0.949150055740962,0.468671536447808,"TP"
"316","asym_long_tail-Weibull(0.5,1)-65","asym_long_tail","Weibull(0.5,1)",65,0,-0.41846,0.41846,1,2.79877,11.026,0.0615384615384615,0.0307692307692308,0.923076923076923,0.938461538461538,0.969230769230769,"svmRadialSigma","unseen","class_1","class_1",0.952624499654938,0.468671536447808,"TP"
"321","asym_short_tail-beta(2,1)-65","asym_short_tail","beta(2,1)",65,0,0.03381,0.03381,1,-0.10801,2.09954,0,0,0.630769230769231,1,1,"svmRadialSigma","unseen","class_1","class_1",0.909430348308371,0.468671536447808,"TP"
"329","normal(0.6)-Normal_548_328.8-65","normal(0.6)","Normal_548_328.8",65,0,-0.1773,0.1773,1,0.35588,2.50165,0,0,0.661538461538462,0.953846153846154,1,"svmRadialSigma","unseen","class_0","class_1",0.980049910865456,0.468671536447808,"FP"
"334","normal(0.6)-Normal_-605_363-65","normal(0.6)","Normal_-605_363",65,0,0.07884,0.07884,1,0.08658,2.74691,0,0,0.661538461538462,0.969230769230769,1,"svmRadialSigma","unseen","class_0","class_0",0.0499862685403121,0.468671536447808,"TN"
"339","normal(0.6)-Normal_956_573.6-65","normal(0.6)","Normal_956_573.6",65,0,-0.18462,0.18462,1,0.21737,2.20693,0,0,0.646153846153846,1,1,"svmRadialSigma","unseen","class_0","class_1",0.799165846833238,0.468671536447808,"FP"
"344","normal(0.6)-Normal_-597_358.2-65","normal(0.6)","Normal_-597_358.2",65,0,0.01126,0.01126,1,-0.2578,3.68169,0.0307692307692308,0,0.753846153846154,0.953846153846154,1,"svmRadialSigma","unseen","class_0","class_0",0.294260451759959,0.468671536447808,"TN"
"349","normal(0.6)-Normal_-277_166.2-65","normal(0.6)","Normal_-277_166.2",65,0,-0.12528,0.12528,1,0.20259,2.51593,0,0,0.646153846153846,0.969230769230769,1,"svmRadialSigma","unseen","class_0","class_1",0.91761238341988,0.468671536447808,"FP"
"351","close_normal-tukey(0.1)-72","close_normal","tukey(0.1)",72,0,-0.14171,0.14171,1,0.28093,2.82572,0,0,0.722222222222222,0.930555555555556,1,"svmRadialSigma","unseen","class_1","class_1",0.675160421521548,0.468671536447808,"TP"
"356","sym_long_tail-t(1)-72","sym_long_tail","t(1)",72,0,0.02079,0.02079,1,-0.51502,34.92769,0.166666666666667,0.0972222222222222,0.972222222222222,0.972222222222222,0.972222222222222,"svmRadialSigma","unseen","class_1","class_1",0.951133536735202,0.468671536447808,"TP"
"361","sym_short_tail-uniform(0,1)-72","sym_short_tail","uniform(0,1)",72,0,-0.04109,0.04109,1,0.25093,1.91603,0,0,0.555555555555556,1,1,"svmRadialSigma","unseen","class_1","class_1",0.961507132499731,0.468671536447808,"TP"
"366","asym_long_tail-Weibull(0.5,1)-72","asym_long_tail","Weibull(0.5,1)",72,0,-0.34179,0.34179,1,3.63668,17.21567,0.111111111111111,0.0833333333333333,0.916666666666667,0.930555555555556,0.972222222222222,"svmRadialSigma","unseen","class_1","class_1",0.955198999031873,0.468671536447808,"TP"
"371","asym_short_tail-beta(2,1)-72","asym_short_tail","beta(2,1)",72,0,0.18711,0.18711,1,-0.70964,2.71267,0,0,0.652777777777778,0.972222222222222,1,"svmRadialSigma","unseen","class_1","class_1",0.918155291340949,0.468671536447808,"TP"
"379","normal(0.6)-Normal_548_328.8-72","normal(0.6)","Normal_548_328.8",72,0,-0.1363,0.1363,1,0.07697,2.3509,0,0,0.708333333333333,0.972222222222222,1,"svmRadialSigma","unseen","class_0","class_1",0.612988382757193,0.468671536447808,"FP"
"384","normal(0.6)-Normal_-605_363-72","normal(0.6)","Normal_-605_363",72,0,-0.1056,0.1056,1,-0.12584,2.65502,0,0,0.638888888888889,0.972222222222222,1,"svmRadialSigma","unseen","class_0","class_1",0.820082859888212,0.468671536447808,"FP"
"389","normal(0.6)-Normal_956_573.6-72","normal(0.6)","Normal_956_573.6",72,0,-0.05585,0.05585,1,-0.00527,3.06356,0.0138888888888889,0,0.694444444444444,0.944444444444444,1,"svmRadialSigma","unseen","class_0","class_0",0.0279022824267706,0.468671536447808,"TN"
"394","normal(0.6)-Normal_-597_358.2-72","normal(0.6)","Normal_-597_358.2",72,0,0.05043,0.05043,1,-0.20984,2.41983,0,0,0.708333333333333,0.958333333333333,1,"svmRadialSigma","unseen","class_0","class_0",0.11395322344417,0.468671536447808,"TN"
"399","normal(0.6)-Normal_-277_166.2-72","normal(0.6)","Normal_-277_166.2",72,0,-0.00296,0.00296,1,-0.21692,2.7962,0,0,0.708333333333333,0.944444444444444,1,"svmRadialSigma","unseen","class_0","class_0",0.0612498015220753,0.468671536447808,"TN"
"401","close_normal-tukey(0.1)-73","close_normal","tukey(0.1)",73,0,0.07686,0.07686,1,-0.62543,3.22594,0.0136986301369863,0,0.684931506849315,0.958904109589041,1,"svmRadialSigma","unseen","class_1","class_0",0.144620494391396,0.468671536447808,"FN"
"406","sym_long_tail-t(1)-73","sym_long_tail","t(1)",73,0,-0.14628,0.14628,1,6.90028,54.55231,0.164383561643836,0.0547945205479452,0.958904109589041,0.986301369863014,0.986301369863014,"svmRadialSigma","unseen","class_1","class_1",0.951158458318728,0.468671536447808,"TP"
"411","sym_short_tail-uniform(0,1)-73","sym_short_tail","uniform(0,1)",73,0,-0.04626,0.04626,1,-0.11685,1.67735,0,0,0.520547945205479,1,1,"svmRadialSigma","unseen","class_1","class_1",0.964368910374256,0.468671536447808,"TP"
"416","asym_long_tail-Weibull(0.5,1)-73","asym_long_tail","Weibull(0.5,1)",73,0,-0.31057,0.31057,1,3.69259,15.95552,0.10958904109589,0.0821917808219178,0.931506849315068,0.945205479452055,0.945205479452055,"svmRadialSigma","unseen","class_1","class_1",0.951985253712277,0.468671536447808,"TP"
"421","asym_short_tail-beta(2,1)-73","asym_short_tail","beta(2,1)",73,0,0.02011,0.02011,1,-0.26053,1.92474,0,0,0.602739726027397,0.986301369863014,1,"svmRadialSigma","unseen","class_1","class_1",0.820059012385106,0.468671536447808,"TP"
"429","normal(0.6)-Normal_548_328.8-73","normal(0.6)","Normal_548_328.8",73,0,-0.12065,0.12065,1,0.31787,2.99188,0.0136986301369863,0,0.698630136986301,0.986301369863014,0.986301369863014,"svmRadialSigma","unseen","class_0","class_1",0.96217430663082,0.468671536447808,"FP"
"434","normal(0.6)-Normal_-605_363-73","normal(0.6)","Normal_-605_363",73,0,-0.03518,0.03518,1,-0.10536,2.59303,0,0,0.643835616438356,0.972602739726027,1,"svmRadialSigma","unseen","class_0","class_1",0.601874771065884,0.468671536447808,"FP"
"439","normal(0.6)-Normal_956_573.6-73","normal(0.6)","Normal_956_573.6",73,0,-0.08293,0.08293,1,0.1551,3.30162,0.0273972602739726,0,0.753424657534247,0.931506849315068,1,"svmRadialSigma","unseen","class_0","class_0",0.346461883869745,0.468671536447808,"TN"
"444","normal(0.6)-Normal_-597_358.2-73","normal(0.6)","Normal_-597_358.2",73,0,0.06378,0.06378,1,-0.11291,2.48045,0,0,0.643835616438356,0.972602739726027,1,"svmRadialSigma","unseen","class_0","class_0",0.143043534150791,0.468671536447808,"TN"
"449","normal(0.6)-Normal_-277_166.2-73","normal(0.6)","Normal_-277_166.2",73,0,-0.10788,0.10788,1,0.12404,2.63016,0,0,0.726027397260274,0.958904109589041,1,"svmRadialSigma","unseen","class_0","class_0",0.220422173181326,0.468671536447808,"TN"
"451","close_normal-tukey(0.1)-86","close_normal","tukey(0.1)",86,0,-0.00181,0.00181,1,-0.02161,2.96118,0.0232558139534884,0,0.686046511627907,0.953488372093023,1,"svmRadialSigma","unseen","class_1","class_0",0.0887428389571052,0.468671536447808,"FN"
"456","sym_long_tail-t(1)-86","sym_long_tail","t(1)",86,0,-0.08605,0.08605,1,3.74204,38.66413,0.13953488372093,0.0697674418604651,0.953488372093023,0.976744186046512,0.976744186046512,"svmRadialSigma","unseen","class_1","class_1",0.952117135701619,0.468671536447808,"TP"
"461","sym_short_tail-uniform(0,1)-86","sym_short_tail","uniform(0,1)",86,0,-0.16764,0.16764,1,0.21585,1.75699,0,0,0.581395348837209,1,1,"svmRadialSigma","unseen","class_1","class_1",0.956226686212689,0.468671536447808,"TP"
"466","asym_long_tail-Weibull(0.5,1)-86","asym_long_tail","Weibull(0.5,1)",86,0,-0.3619,0.3619,1,4.22704,22.8882,0.0581395348837209,0.0348837209302326,0.941860465116279,0.965116279069767,0.976744186046512,"svmRadialSigma","unseen","class_1","class_1",0.959563684775312,0.468671536447808,"TP"
"471","asym_short_tail-beta(2,1)-86","asym_short_tail","beta(2,1)",86,0,0.24963,0.24963,1,-0.86352,2.86453,0,0,0.686046511627907,0.941860465116279,1,"svmRadialSigma","unseen","class_1","class_1",0.809104435748246,0.468671536447808,"TP"
"479","normal(0.6)-Normal_548_328.8-86","normal(0.6)","Normal_548_328.8",86,0,-0.02876,0.02876,1,0.43227,3.59376,0.0232558139534884,0,0.709302325581395,0.953488372093023,0.976744186046512,"svmRadialSigma","unseen","class_0","class_1",0.932289921902032,0.468671536447808,"FP"
"484","normal(0.6)-Normal_-605_363-86","normal(0.6)","Normal_-605_363",86,0,-0.0851,0.0851,1,-0.00127,3.13817,0,0,0.767441860465116,0.941860465116279,1,"svmRadialSigma","unseen","class_0","class_1",0.594739904757719,0.468671536447808,"FP"
"489","normal(0.6)-Normal_956_573.6-86","normal(0.6)","Normal_956_573.6",86,0,0.10768,0.10768,1,-0.53648,3.11217,0.0116279069767442,0,0.674418604651163,0.953488372093023,1,"svmRadialSigma","unseen","class_0","class_0",0.104344298663025,0.468671536447808,"TN"
"494","normal(0.6)-Normal_-597_358.2-86","normal(0.6)","Normal_-597_358.2",86,0,-0.0049,0.0049,1,0.30208,3.312,0.0116279069767442,0,0.709302325581395,0.953488372093023,0.988372093023256,"svmRadialSigma","unseen","class_0","class_1",0.928388258850055,0.468671536447808,"FP"
"499","normal(0.6)-Normal_-277_166.2-86","normal(0.6)","Normal_-277_166.2",86,0,0.03284,0.03284,1,-0.16291,2.66869,0,0,0.686046511627907,0.965116279069767,1,"svmRadialSigma","unseen","class_0","class_0",0.0872182039344986,0.468671536447808,"TN"
"501","close_normal-tukey(0.1)-91","close_normal","tukey(0.1)",91,0,0.09616,0.09616,1,-0.3683,3.14381,0.021978021978022,0,0.703296703296703,0.945054945054945,1,"svmRadialSigma","unseen","class_1","class_0",0.108606807379353,0.468671536447808,"FN"
"506","sym_long_tail-t(1)-91","sym_long_tail","t(1)",91,0,-0.18005,0.18005,1,3.98584,27.31483,0.142857142857143,0.10989010989011,0.934065934065934,0.945054945054945,0.956043956043956,"svmRadialSigma","unseen","class_1","class_1",0.950373333891605,0.468671536447808,"TP"
"511","sym_short_tail-uniform(0,1)-91","sym_short_tail","uniform(0,1)",91,0,-0.09442,0.09442,1,0.18845,1.86441,0,0,0.615384615384615,1,1,"svmRadialSigma","unseen","class_1","class_1",0.976209886583716,0.468671536447808,"TP"
