"","sample_id","dist_family","dist","size","mean","median","mean_median_diff","sd","skewness","kurtosis","outliers_minor_ratio","outliers_extream_ratio","sigma_1_ratio","sigma_2_ratio","sigma_3_ratio","model","test_set","actual","predicted","score","threshold","type"
"106","sym_long_tail-t(1)-23","sym_long_tail","t(1)",23,0.46028,-0.14584,0.0843196235640871,7.18836226230682,0.91559,7.27317,0.260869565217391,0.0869565217391304,0.782608695652174,0.91304347826087,0.956521739130435,"rf","unseen","class_1","class_1",0.948,0.657,"TP"
"111","sym_short_tail-uniform(0,1)-23","sym_short_tail","uniform(0,1)",23,5.76132,6.35696,0.204951322671715,2.90625106603522,-0.2137,1.7085,0,0,0.652173913043478,1,1,"rf","unseen","class_1","class_0",0.63,0.657,"FN"
"116","asym_long_tail-Weibull(0.5,1)-23","asym_long_tail","Weibull(0.5,1)",23,1.452,0.83957,0.305806172176793,2.00267377090722,2.18095,8.29662,0.0434782608695652,0,0.91304347826087,0.956521739130435,0.956521739130435,"rf","unseen","class_1","class_1",0.996,0.657,"TP"
"121","asym_short_tail-beta(2,1)-23","asym_short_tail","beta(2,1)",23,0.60949,0.63405,0.106840489887071,0.229875396733576,-0.18066,1.82962,0,0,0.565217391304348,1,1,"rf","unseen","class_1","class_1",0.856,0.657,"TP"
"129","normal(0.6)-Normal_548_328.8-23","normal(0.6)","Normal_548_328.8",23,482.07756,488.33345,0.0209977382421898,297.931611864289,0.1971,1.93102,0,0,0.608695652173913,0.956521739130435,1,"rf","unseen","class_0","class_0",0.566,0.657,"TN"
"134","normal(0.6)-Normal_-605_363-23","normal(0.6)","Normal_-605_363",23,-536.30441,-607.0729,0.181587480828923,389.721194858539,-0.34275,3.66514,0.0434782608695652,0,0.826086956521739,0.956521739130435,1,"rf","unseen","class_0","class_0",0.564,0.657,"TN"
"139","normal(0.6)-Normal_956_573.6-23","normal(0.6)","Normal_956_573.6",23,867.51433,768.1829,0.176058314743866,564.196187748983,0.83901,4.48165,0.0434782608695652,0,0.782608695652174,0.956521739130435,1,"rf","unseen","class_0","class_1",0.93,0.657,"FP"
"144","normal(0.6)-Normal_-597_358.2-23","normal(0.6)","Normal_-597_358.2",23,-645.99931,-681.53111,0.0857592082211016,414.320522973965,-0.16707,1.79901,0,0,0.652173913043478,1,1,"rf","unseen","class_0","class_1",0.674,0.657,"FP"
"149","normal(0.6)-Normal_-277_166.2-23","normal(0.6)","Normal_-277_166.2",23,-277.09814,-256.15744,0.14739832182893,142.068781653455,0.55096,2.75533,0,0,0.608695652173913,0.956521739130435,1,"rf","unseen","class_0","class_1",0.77,0.657,"FP"
"151","close_normal-tukey(0.1)-31","close_normal","tukey(0.1)",31,0.51257,0.35149,0.115837782756656,1.39056529024201,0.05855,2.08622,0,0,0.645161290322581,0.967741935483871,1,"rf","unseen","class_1","class_0",0.322,0.657,"FN"
"156","sym_long_tail-t(1)-31","sym_long_tail","t(1)",31,0.39643,0.21554,0.0751557066171207,2.40686979262321,0.76408,5.62904,0.161290322580645,0.0967741935483871,0.774193548387097,0.903225806451613,0.967741935483871,"rf","unseen","class_1","class_1",0.94,0.657,"TP"
"161","sym_short_tail-uniform(0,1)-31","sym_short_tail","uniform(0,1)",31,5.33322,5.35807,0.00826807195243497,3.0055374630214,0.04528,1.69795,0,0,0.612903225806452,1,1,"rf","unseen","class_1","class_1",0.812,0.657,"TP"
"166","asym_long_tail-Weibull(0.5,1)-31","asym_long_tail","Weibull(0.5,1)",31,1.77663,0.56043,0.38870580091995,3.1288444811516,2.24345,6.89188,0.161290322580645,0.129032258064516,0.870967741935484,0.935483870967742,0.967741935483871,"rf","unseen","class_1","class_1",0.994,0.657,"TP"
"171","asym_short_tail-beta(2,1)-31","asym_short_tail","beta(2,1)",31,0.72368,0.78446,0.298883196283544,0.203357032967285,-0.9321,3.03822,0.032258064516129,0,0.67741935483871,0.935483870967742,1,"rf","unseen","class_1","class_0",0.366,0.657,"FN"
"179","normal(0.6)-Normal_548_328.8-31","normal(0.6)","Normal_548_328.8",31,563.16903,625.53934,0.253495526223807,246.041067978984,-0.09489,2.52924,0,0,0.709677419354839,0.967741935483871,1,"rf","unseen","class_0","class_0",0.424,0.657,"TN"
"184","normal(0.6)-Normal_-605_363-31","normal(0.6)","Normal_-605_363",31,-617.50096,-638.35942,0.0774131952711212,269.443212193325,-0.00156,2.47449,0,0,0.67741935483871,0.967741935483871,1,"rf","unseen","class_0","class_0",0.28,0.657,"TN"
"189","normal(0.6)-Normal_956_573.6-31","normal(0.6)","Normal_956_573.6",31,884.00901,1023.18202,0.240059762744118,579.743178986417,-0.36744,2.01002,0,0,0.645161290322581,0.967741935483871,1,"rf","unseen","class_0","class_0",0.58,0.657,"TN"
"194","normal(0.6)-Normal_-597_358.2-31","normal(0.6)","Normal_-597_358.2",31,-508.66281,-512.50908,0.00973465430867481,395.111102874249,-0.01065,2.19014,0,0,0.612903225806452,1,1,"rf","unseen","class_0","class_0",0.528,0.657,"TN"
"199","normal(0.6)-Normal_-277_166.2-31","normal(0.6)","Normal_-277_166.2",31,-240.26135,-260.16095,0.132962110806467,149.66368899607,0.52536,2.39786,0,0,0.709677419354839,0.967741935483871,1,"rf","unseen","class_0","class_0",0.434,0.657,"TN"
"201","close_normal-tukey(0.1)-42","close_normal","tukey(0.1)",42,0.57755,0.49349,0.0815490334025002,1.03079088117583,0.41732,2.62867,0,0,0.642857142857143,0.976190476190476,1,"rf","unseen","class_1","class_0",0.602,0.657,"FN"
"206","sym_long_tail-t(1)-42","sym_long_tail","t(1)",42,0.82674,0.37952,0.118661770893195,3.76886335534746,1.20953,7.65177,0.142857142857143,0.0238095238095238,0.785714285714286,0.928571428571429,0.976190476190476,"rf","unseen","class_1","class_1",0.964,0.657,"TP"
"211","sym_short_tail-uniform(0,1)-42","sym_short_tail","uniform(0,1)",42,5.42308,5.63708,0.0687529999746967,3.11259145170043,-0.04605,1.56843,0,0,0.547619047619048,1,1,"rf","unseen","class_1","class_1",0.878,0.657,"TP"
"216","asym_long_tail-Weibull(0.5,1)-42","asym_long_tail","Weibull(0.5,1)",42,1.42449,0.41728,0.309673966383915,3.2524852242546,4.37439,23.91151,0.119047619047619,0.0952380952380952,0.928571428571429,0.976190476190476,0.976190476190476,"rf","unseen","class_1","class_1",0.94,0.657,"TP"
"221","asym_short_tail-beta(2,1)-42","asym_short_tail","beta(2,1)",42,0.68045,0.74869,0.280351201790489,0.24340897975175,-0.98184,3.15998,0.0476190476190476,0,0.69047619047619,0.928571428571429,1,"rf","unseen","class_1","class_0",0.456,0.657,"FN"
"229","normal(0.6)-Normal_548_328.8-42","normal(0.6)","Normal_548_328.8",42,669.57075,673.61534,0.0129259958143608,312.903551733046,-0.03911,2.93934,0,0,0.785714285714286,0.928571428571429,1,"rf","unseen","class_0","class_0",0.4,0.657,"TN"
"234","normal(0.6)-Normal_-605_363-42","normal(0.6)","Normal_-605_363",42,-492.02742,-549.1682,0.161746839473927,353.272930623234,0.48249,2.47033,0,0,0.642857142857143,0.976190476190476,1,"rf","unseen","class_0","class_0",0.534,0.657,"TN"
"239","normal(0.6)-Normal_956_573.6-42","normal(0.6)","Normal_956_573.6",42,1025.83553,1053.73885,0.0462958423731727,602.71762148925,0.11427,2.30761,0,0,0.69047619047619,0.976190476190476,1,"rf","unseen","class_0","class_0",0.156,0.657,"TN"
"244","normal(0.6)-Normal_-597_358.2-42","normal(0.6)","Normal_-597_358.2",42,-511.96456,-474.23017,0.114160967810882,330.536703775237,-0.70299,4.28495,0.0476190476190476,0,0.761904761904762,0.952380952380952,1,"rf","unseen","class_0","class_1",0.776,0.657,"FP"
"249","normal(0.6)-Normal_-277_166.2-42","normal(0.6)","Normal_-277_166.2",42,-299.80833,-307.92884,0.0557451142252969,145.672138497743,-0.30674,3.89067,0.0476190476190476,0,0.714285714285714,0.928571428571429,1,"rf","unseen","class_0","class_0",0.59,0.657,"TN"
"251","close_normal-tukey(0.1)-55","close_normal","tukey(0.1)",55,0.06683,0.26081,0.157785952321887,1.22938700908099,-0.19133,2.55045,0,0,0.709090909090909,1,1,"rf","unseen","class_1","class_0",0.354,0.657,"FN"
"256","sym_long_tail-t(1)-55","sym_long_tail","t(1)",55,-0.14629,0.13394,0.0503656976966889,5.56390584892906,0.04362,10.68536,0.127272727272727,0.0909090909090909,0.890909090909091,0.927272727272727,0.945454545454545,"rf","unseen","class_1","class_1",0.94,0.657,"TP"
"261","sym_short_tail-uniform(0,1)-55","sym_short_tail","uniform(0,1)",55,4.74791,4.33999,0.145962516706862,2.79469009717906,0.33041,1.9618,0,0,0.6,1,1,"rf","unseen","class_1","class_1",0.68,0.657,"TP"
"266","asym_long_tail-Weibull(0.5,1)-55","asym_long_tail","Weibull(0.5,1)",55,1.32733,0.40651,0.310849917621626,2.96226554295196,5.28199,33.99901,0.0727272727272727,0.0363636363636364,0.927272727272727,0.981818181818182,0.981818181818182,"rf","unseen","class_1","class_1",0.988,0.657,"TP"
"271","asym_short_tail-beta(2,1)-55","asym_short_tail","beta(2,1)",55,0.68996,0.75012,0.279572518867309,0.215185670765277,-0.91036,3.06325,0.0181818181818182,0,0.672727272727273,0.981818181818182,1,"rf","unseen","class_1","class_0",0.436,0.657,"FN"
"279","normal(0.6)-Normal_548_328.8-55","normal(0.6)","Normal_548_328.8",55,544.30034,491.19772,0.16290631654966,325.970294612931,0.12859,3.43056,0.0181818181818182,0,0.672727272727273,0.927272727272727,1,"rf","unseen","class_0","class_0",0.426,0.657,"TN"
"284","normal(0.6)-Normal_-605_363-55","normal(0.6)","Normal_-605_363",55,-691.96764,-650.79013,0.114076544086766,360.963862726071,0.07398,2.2454,0,0,0.636363636363636,0.963636363636364,1,"rf","unseen","class_0","class_0",0.156,0.657,"TN"
"289","normal(0.6)-Normal_956_573.6-55","normal(0.6)","Normal_956_573.6",55,974.49562,918.15258,0.102104793903404,551.815814380894,-0.06207,3.34954,0,0,0.745454545454545,0.945454545454545,1,"rf","unseen","class_0","class_0",0.212,0.657,"TN"
"294","normal(0.6)-Normal_-597_358.2-55","normal(0.6)","Normal_-597_358.2",55,-647.61291,-695.48118,0.130683056959671,366.292854740705,0.08559,3.37591,0.0363636363636364,0,0.654545454545455,0.945454545454545,1,"rf","unseen","class_0","class_0",0.316,0.657,"TN"
"299","normal(0.6)-Normal_-277_166.2-55","normal(0.6)","Normal_-277_166.2",55,-291.22319,-284.63011,0.0408285616641144,161.482054015017,0.07943,2.29533,0,0,0.672727272727273,0.981818181818182,1,"rf","unseen","class_0","class_0",0.12,0.657,"TN"
"301","close_normal-tukey(0.1)-65","close_normal","tukey(0.1)",65,-0.15245,0.03322,0.121598382784171,1.52691175448897,-0.12475,3.39049,0.0153846153846154,0,0.707692307692308,0.938461538461538,1,"rf","unseen","class_1","class_0",0.222,0.657,"FN"
"306","sym_long_tail-t(1)-65","sym_long_tail","t(1)",65,1.1515,0.15714,0.162198287274059,6.13052096117312,3.61705,22.71541,0.153846153846154,0.0615384615384615,0.923076923076923,0.938461538461538,0.984615384615385,"rf","unseen","class_1","class_1",0.986,0.657,"TP"
"311","sym_short_tail-uniform(0,1)-65","sym_short_tail","uniform(0,1)",65,4.6329,4.15067,0.169567699844622,2.84387887812287,0.23101,1.86261,0,0,0.584615384615385,1,1,"rf","unseen","class_1","class_1",0.858,0.657,"TP"
"316","asym_long_tail-Weibull(0.5,1)-65","asym_long_tail","Weibull(0.5,1)",65,2.42882,0.59969,0.418458499528495,4.37111446430412,2.79877,11.026,0.0615384615384615,0.0307692307692308,0.923076923076923,0.938461538461538,0.969230769230769,"rf","unseen","class_1","class_1",1,0.657,"TP"
"321","asym_short_tail-beta(2,1)-65","asym_short_tail","beta(2,1)",65,0.58812,0.59577,0.0337923181739504,0.226382811638452,-0.10801,2.09954,0,0,0.630769230769231,1,1,"rf","unseen","class_1","class_1",0.672,0.657,"TP"
"329","normal(0.6)-Normal_548_328.8-65","normal(0.6)","Normal_548_328.8",65,550.63994,503.94409,0.177295192614643,263.379109784973,0.35588,2.50165,0,0,0.661538461538462,0.953846153846154,1,"rf","unseen","class_0","class_0",0.58,0.657,"TN"
"334","normal(0.6)-Normal_-605_363-65","normal(0.6)","Normal_-605_363",65,-590.96434,-561.79112,0.0788378580891583,370.040748278674,0.08658,2.74691,0,0,0.661538461538462,0.969230769230769,1,"rf","unseen","class_0","class_0",0.23,0.657,"TN"
"339","normal(0.6)-Normal_956_573.6-65","normal(0.6)","Normal_956_573.6",65,959.32997,850.22089,0.184616893824832,591.002685287972,0.21737,2.20693,0,0,0.646153846153846,1,1,"rf","unseen","class_0","class_0",0.408,0.657,"TN"
"344","normal(0.6)-Normal_-597_358.2-65","normal(0.6)","Normal_-597_358.2",65,-570.40622,-566.5752,0.0112619932629709,340.172464193905,-0.2578,3.68169,0.0307692307692308,0,0.753846153846154,0.953846153846154,1,"rf","unseen","class_0","class_0",0.652,0.657,"TN"
"349","normal(0.6)-Normal_-277_166.2-65","normal(0.6)","Normal_-277_166.2",65,-235.7145,-254.97123,0.125284297575261,153.704258017107,0.20259,2.51593,0,0,0.646153846153846,0.969230769230769,1,"rf","unseen","class_0","class_0",0.362,0.657,"TN"
"351","close_normal-tukey(0.1)-72","close_normal","tukey(0.1)",72,0.25175,0.04285,0.141705175484733,1.47418751139761,0.28093,2.82572,0,0,0.722222222222222,0.930555555555556,1,"rf","unseen","class_1","class_0",0.53,0.657,"FN"
"356","sym_long_tail-t(1)-72","sym_long_tail","t(1)",72,-1.39414,-0.30041,0.0207884794380158,52.612313625974,-0.51502,34.92769,0.166666666666667,0.0972222222222222,0.972222222222222,0.972222222222222,0.972222222222222,"rf","unseen","class_1","class_1",0.928,0.657,"TP"
"361","sym_short_tail-uniform(0,1)-72","sym_short_tail","uniform(0,1)",72,4.63794,4.51526,0.0410874756010135,2.98582471192206,0.25093,1.91603,0,0,0.555555555555556,1,1,"rf","unseen","class_1","class_1",0.782,0.657,"TP"
"366","asym_long_tail-Weibull(0.5,1)-72","asym_long_tail","Weibull(0.5,1)",72,2.57665,0.68745,0.341793769181141,5.52730965378945,3.63668,17.21567,0.111111111111111,0.0833333333333333,0.916666666666667,0.930555555555556,0.972222222222222,"rf","unseen","class_1","class_1",0.998,0.657,"TP"
"371","asym_short_tail-beta(2,1)-72","asym_short_tail","beta(2,1)",72,0.70455,0.74748,0.187128472975113,0.2294145798203,-0.70964,2.71267,0,0,0.652777777777778,0.972222222222222,1,"rf","unseen","class_1","class_0",0.486,0.657,"FN"
"379","normal(0.6)-Normal_548_328.8-72","normal(0.6)","Normal_548_328.8",72,570.15933,534.45621,0.136300927762686,261.943338068561,0.07697,2.3509,0,0,0.708333333333333,0.972222222222222,1,"rf","unseen","class_0","class_0",0.306,0.657,"TN"
"384","normal(0.6)-Normal_-605_363-72","normal(0.6)","Normal_-605_363",72,-593.38982,-634.28876,0.105602824165065,387.290210497326,-0.12584,2.65502,0,0,0.638888888888889,0.972222222222222,1,"rf","unseen","class_0","class_0",0.09,0.657,"TN"
"389","normal(0.6)-Normal_956_573.6-72","normal(0.6)","Normal_956_573.6",72,903.32555,872.35222,0.0558515340332397,554.565430227332,-0.00527,3.06356,0.0138888888888889,0,0.694444444444444,0.944444444444444,1,"rf","unseen","class_0","class_0",0.086,0.657,"TN"
"394","normal(0.6)-Normal_-597_358.2-72","normal(0.6)","Normal_-597_358.2",72,-581.55473,-565.56411,0.0504269857043789,317.104418926459,-0.20984,2.41983,0,0,0.708333333333333,0.958333333333333,1,"rf","unseen","class_0","class_0",0.288,0.657,"TN"
"399","normal(0.6)-Normal_-277_166.2-72","normal(0.6)","Normal_-277_166.2",72,-281.36028,-281.86914,0.00296222053880742,171.783293422472,-0.21692,2.7962,0,0,0.708333333333333,0.944444444444444,1,"rf","unseen","class_0","class_0",0.4,0.657,"TN"
"401","close_normal-tukey(0.1)-73","close_normal","tukey(0.1)",73,-0.19347,-0.07392,0.0768569337710861,1.5554875030023,-0.62543,3.22594,0.0136986301369863,0,0.684931506849315,0.958904109589041,1,"rf","unseen","class_1","class_0",0.322,0.657,"FN"
"406","sym_long_tail-t(1)-73","sym_long_tail","t(1)",73,1.11604,0.04328,0.146282164645831,7.33349826068886,6.90028,54.55231,0.164383561643836,0.0547945205479452,0.958904109589041,0.986301369863014,0.986301369863014,"rf","unseen","class_1","class_1",0.99,0.657,"TP"
"411","sym_short_tail-uniform(0,1)-73","sym_short_tail","uniform(0,1)",73,5.39457,5.2627,0.046256858862065,2.85082046736524,-0.11685,1.67735,0,0,0.520547945205479,1,1,"rf","unseen","class_1","class_1",0.924,0.657,"TP"
"416","asym_long_tail-Weibull(0.5,1)-73","asym_long_tail","Weibull(0.5,1)",73,2.20447,0.46859,0.310571016936263,5.5893174357485,3.69259,15.95552,0.10958904109589,0.0821917808219178,0.931506849315068,0.945205479452055,0.945205479452055,"rf","unseen","class_1","class_1",1,0.657,"TP"
"421","asym_short_tail-beta(2,1)-73","asym_short_tail","beta(2,1)",73,0.61936,0.62431,0.0201095494555137,0.24615171070592,-0.26053,1.92474,0,0,0.602739726027397,0.986301369863014,1,"rf","unseen","class_1","class_1",0.752,0.657,"TP"
"429","normal(0.6)-Normal_548_328.8-73","normal(0.6)","Normal_548_328.8",73,580.67527,546.61727,0.120653357434332,282.279753537208,0.31787,2.99188,0.0136986301369863,0,0.698630136986301,0.986301369863014,0.986301369863014,"rf","unseen","class_0","class_0",0.494,0.657,"TN"
"434","normal(0.6)-Normal_-605_363-73","normal(0.6)","Normal_-605_363",73,-601.68925,-615.66073,0.0351818350213598,397.121980462857,-0.10536,2.59303,0,0,0.643835616438356,0.972602739726027,1,"rf","unseen","class_0","class_0",0.21,0.657,"TN"
"439","normal(0.6)-Normal_956_573.6-73","normal(0.6)","Normal_956_573.6",73,917.31118,869.15829,0.0829281467949961,580.657977550581,0.1551,3.30162,0.0273972602739726,0,0.753424657534247,0.931506849315068,1,"rf","unseen","class_0","class_0",0.176,0.657,"TN"
"444","normal(0.6)-Normal_-597_358.2-73","normal(0.6)","Normal_-597_358.2",73,-565.48652,-546.50141,0.0637756179493277,297.686021875704,-0.11291,2.48045,0,0,0.643835616438356,0.972602739726027,1,"rf","unseen","class_0","class_0",0.124,0.657,"TN"
"449","normal(0.6)-Normal_-277_166.2-73","normal(0.6)","Normal_-277_166.2",73,-281.21269,-297.72664,0.107878118741928,153.079699503339,0.12404,2.63016,0,0,0.726027397260274,0.958904109589041,1,"rf","unseen","class_0","class_0",0.384,0.657,"TN"
"451","close_normal-tukey(0.1)-86","close_normal","tukey(0.1)",86,0.00173,-0.00126,0.00180843952301246,1.65335913197657,-0.02161,2.96118,0.0232558139534884,0,0.686046511627907,0.953488372093023,1,"rf","unseen","class_1","class_0",0.212,0.657,"FN"
"456","sym_long_tail-t(1)-86","sym_long_tail","t(1)",86,0.77076,0.08554,0.0860484649542291,7.96318679670209,3.74204,38.66413,0.13953488372093,0.0697674418604651,0.953488372093023,0.976744186046512,0.976744186046512,"rf","unseen","class_1","class_1",0.976,0.657,"TP"
"461","sym_short_tail-uniform(0,1)-86","sym_short_tail","uniform(0,1)",86,4.64371,4.16865,0.167643088747358,2.83375833474367,0.21585,1.75699,0,0,0.581395348837209,1,1,"rf","unseen","class_1","class_1",0.89,0.657,"TP"
"466","asym_long_tail-Weibull(0.5,1)-86","asym_long_tail","Weibull(0.5,1)",86,1.82425,0.4216,0.361900352797171,3.87579064004429,4.22704,22.8882,0.0581395348837209,0.0348837209302326,0.941860465116279,0.965116279069767,0.976744186046512,"rf","unseen","class_1","class_1",1,0.657,"TP"
"471","asym_short_tail-beta(2,1)-86","asym_short_tail","beta(2,1)",86,0.68563,0.74602,0.249634378396553,0.241913795639431,-0.86352,2.86453,0,0,0.686046511627907,0.941860465116279,1,"rf","unseen","class_1","class_0",0.45,0.657,"FN"
"479","normal(0.6)-Normal_548_328.8-86","normal(0.6)","Normal_548_328.8",86,553.51986,545.0777,0.0287557905854676,293.581217143318,0.43227,3.59376,0.0232558139534884,0,0.709302325581395,0.953488372093023,0.976744186046512,"rf","unseen","class_0","class_1",0.666,0.657,"FP"
"484","normal(0.6)-Normal_-605_363-86","normal(0.6)","Normal_-605_363",86,-581.1557,-610.83065,0.0851022437219647,348.697621850608,-0.00127,3.13817,0,0,0.767441860465116,0.941860465116279,1,"rf","unseen","class_0","class_0",0.22,0.657,"TN"
"489","normal(0.6)-Normal_956_573.6-86","normal(0.6)","Normal_956_573.6",86,922.0319,980.92781,0.107682454143532,546.940636415071,-0.53648,3.11217,0.0116279069767442,0,0.674418604651163,0.953488372093023,1,"rf","unseen","class_0","class_0",0.368,0.657,"TN"
"494","normal(0.6)-Normal_-597_358.2-86","normal(0.6)","Normal_-597_358.2",86,-600.13465,-602.01145,0.00490067666625048,382.967522204632,0.30208,3.312,0.0116279069767442,0,0.709302325581395,0.953488372093023,0.988372093023256,"rf","unseen","class_0","class_0",0.506,0.657,"TN"
"499","normal(0.6)-Normal_-277_166.2-86","normal(0.6)","Normal_-277_166.2",86,-302.78291,-297.39404,0.0328402547158129,164.093428830965,-0.16291,2.66869,0,0,0.686046511627907,0.965116279069767,1,"rf","unseen","class_0","class_0",0.224,0.657,"TN"
"501","close_normal-tukey(0.1)-91","close_normal","tukey(0.1)",91,-0.09267,0.03101,0.0961626110436777,1.28615476075024,-0.3683,3.14381,0.021978021978022,0,0.703296703296703,0.945054945054945,1,"rf","unseen","class_1","class_0",0.156,0.657,"FN"
"506","sym_long_tail-t(1)-91","sym_long_tail","t(1)",91,1.85234,-0.12126,0.180053987314113,10.9611568698946,3.98584,27.31483,0.142857142857143,0.10989010989011,0.934065934065934,0.945054945054945,0.956043956043956,"rf","unseen","class_1","class_1",1,0.657,"TP"
"511","sym_short_tail-uniform(0,1)-91","sym_short_tail","uniform(0,1)",91,4.50469,4.23967,0.0944210051697854,2.80679070852347,0.18845,1.86441,0,0,0.615384615384615,1,1,"rf","unseen","class_1","class_1",0.864,0.657,"TP"
"516","asym_long_tail-Weibull(0.5,1)-91","asym_long_tail","Weibull(0.5,1)",91,2.56478,0.4227,0.346846785219887,6.17586811030123,4.8189,28.24852,0.10989010989011,0.0549450549450549,0.945054945054945,0.978021978021978,0.978021978021978,"rf","unseen","class_1","class_1",0.988,0.657,"TP"
