"","sample_id","dist_family","dist","size","mean","median","mean_median_diff","sd","skewness","kurtosis","outliers_minor_ratio","outliers_extream_ratio","sigma_1_ratio","sigma_2_ratio","sigma_3_ratio","alternative"
"20","asym_long_tail-chisquared(10)-8","asym_long_tail","chisquared(10)",8,10.20881,9.53712,0.180712605436093,3.71689621971354,1.2891,3.95694,0.125,0,0.75,0.875,1,1
"21","asym_short_tail-beta(2,1)-8","asym_short_tail","beta(2,1)",8,0.70824,0.70901,0.00341735629628475,0.225320374359902,-0.11241,1.52426,0,0,0.5,1,1,1
"22","asym_short_tail-beta(3,2)-8","asym_short_tail","beta(3,2)",8,0.68247,0.73928,0.246392961454813,0.230566651192342,-0.72971,2.52689,0.125,0,0.5,1,1,1
"23","asym_short_tail-lognormal(0,0.15)-8","asym_short_tail","lognormal(0,0.15)",8,1.00354,1.00806,0.024981997899774,0.180930285004978,-0.35613,2.54452,0,0,0.75,1,1,1
"24","asym_short_tail-lognormal(0,0.25)-8","asym_short_tail","lognormal(0,0.25)",8,1.08796,1.09033,0.0147105134653512,0.161109264172337,0.19974,2.35319,0,0,0.625,1,1,1
"25","asym_short_tail-lognormal(0,0.35)-8","asym_short_tail","lognormal(0,0.35)",8,0.9222,0.95374,0.121427925111057,0.259742558980183,-0.33579,1.69685,0,0,0.625,1,1,1
"26","normal(0.01)-Normal_548_5.48-8","normal(0.01)","Normal_548_5.48",8,547.19968,547.75782,0.0914416445453851,6.10378348699835,-0.50266,2.29206,0,0,0.75,1,1,0
"27","normal(0.1)-Normal_548_54.8-8","normal(0.1)","Normal_548_54.8",8,545.57011,548.21632,0.075732162915197,34.9416931741822,0.05038,2.66588,0,0,0.75,1,1,0
"28","normal(0.3)-Normal_548_164.4-8","normal(0.3)","Normal_548_164.4",8,661.45394,622.66243,0.195624969789009,198.295289409314,-0.16145,2.28268,0,0,0.625,1,1,0
"29","normal(0.6)-Normal_548_328.8-8","normal(0.6)","Normal_548_328.8",8,654.75742,736.38324,0.237525041234402,343.651429658937,-1.08532,3.0411,0.125,0,0.875,0.875,1,0
"30","normal(1)-Normal_548_548-8","normal(1)","Normal_548_548",8,848.83358,1047.25777,0.340537940516179,582.678657477148,-1.29556,3.28488,0.125,0,0.875,0.875,1,0
"31","normal(0.01)-Normal_-605_6.05-8","normal(0.01)","Normal_-605_6.05",8,-605.77106,-604.75863,0.1723539016216,5.87413450159527,-0.15452,1.50177,0,0,0.625,1,1,0
"32","normal(0.1)-Normal_-605_60.5-8","normal(0.1)","Normal_-605_60.5",8,-587.15044,-604.1752,0.265836770965112,64.0421561629423,0.89959,2.77765,0,0,0.875,1,1,0
"33","normal(0.3)-Normal_-605_181.5-8","normal(0.3)","Normal_-605_181.5",8,-641.86386,-568.86075,0.342221737888089,213.321077879258,-0.69339,2.3456,0,0,0.75,1,1,0
"34","normal(0.6)-Normal_-605_363-8","normal(0.6)","Normal_-605_363",8,-728.03794,-781.57834,0.134668878861022,397.570696755064,0.59309,2.33194,0,0,0.75,1,1,0
"35","normal(1)-Normal_-605_605-8","normal(1)","Normal_-605_605",8,-898.06288,-1024.94005,0.237742229457522,533.675360450295,0.24483,1.43013,0,0,0.625,1,1,0
"36","normal(0.01)-Normal_956_9.56-8","normal(0.01)","Normal_956_9.56",8,959.93999,960.89746,0.123628159209902,7.74475658393021,-0.02295,1.97232,0,0,0.625,1,1,0
"37","normal(0.1)-Normal_956_95.6-8","normal(0.1)","Normal_956_95.6",8,912.10161,910.91419,0.0179512632790091,66.146876770983,-0.15279,1.46975,0,0,0.625,1,1,0
"38","normal(0.3)-Normal_956_286.8-8","normal(0.3)","Normal_956_286.8",8,953.23204,939.01328,0.103128809861332,137.873791223991,0.16843,1.7203,0,0,0.75,1,1,0
"39","normal(0.6)-Normal_956_573.6-8","normal(0.6)","Normal_956_573.6",8,830.9191,789.44187,0.0856184148149069,484.442863018043,0.15868,1.66335,0,0,0.5,1,1,0
"40","normal(1)-Normal_956_956-8","normal(1)","Normal_956_956",8,1158.65177,1250.83497,0.149104697709553,618.244773075945,-0.41091,2.45529,0.125,0,0.625,1,1,0
"41","normal(0.01)-Normal_-597_5.97-8","normal(0.01)","Normal_-597_5.97",8,-592.81602,-593.46315,0.111928203539848,5.78165269819301,-0.74992,2.91893,0,0,0.625,1,1,0
"42","normal(0.1)-Normal_-597_59.7-8","normal(0.1)","Normal_-597_59.7",8,-580.49665,-563.54983,0.319612372261305,53.0230412549387,-0.85676,2.59392,0,0,0.875,1,1,0
"43","normal(0.3)-Normal_-597_179.1-8","normal(0.3)","Normal_-597_179.1",8,-556.04658,-591.28763,0.256476910417397,137.404376646022,0.62746,2.15614,0,0,0.75,1,1,0
"44","normal(0.6)-Normal_-597_358.2-8","normal(0.6)","Normal_-597_358.2",8,-414.78551,-321.80339,0.274475170672587,338.763319728164,-0.58131,2.16595,0,0,0.75,1,1,0
"45","normal(1)-Normal_-597_597-8","normal(1)","Normal_-597_597",8,-214.01355,-311.00003,0.190993207650534,507.800676228545,1.22595,3.63886,0.125,0,0.875,0.875,1,0
"46","normal(0.01)-Normal_-277_2.77-8","normal(0.01)","Normal_-277_2.77",8,-276.29791,-276.756,0.129564503428883,3.5356134425461,0.14488,2.72831,0,0,0.75,1,1,0
"47","normal(0.1)-Normal_-277_27.7-8","normal(0.1)","Normal_-277_27.7",8,-275.19272,-274.81546,0.0169203416408072,22.296240111972,-0.01079,1.93045,0,0,0.625,1,1,0
"48","normal(0.3)-Normal_-277_83.1-8","normal(0.3)","Normal_-277_83.1",8,-284.14475,-268.27375,0.203528159144488,77.9793816576159,-0.77497,2.72246,0,0,0.75,1,1,0
"49","normal(0.6)-Normal_-277_166.2-8","normal(0.6)","Normal_-277_166.2",8,-282.64199,-269.84695,0.0566386836126904,225.906380301769,-0.56819,3.40506,0.25,0,0.75,1,1,0
"50","normal(1)-Normal_-277_277-8","normal(1)","Normal_-277_277",8,-227.24677,-376.68266,0.588328595588516,254.000725309835,0.54454,1.44797,0,0,0.625,1,1,0
"51","close_normal-tukey(0.1)-16","close_normal","tukey(0.1)",16,0.91952,0.81022,0.0803089317200767,1.36099432104232,0.14807,1.8838,0,0,0.6875,1,1,1
"52","close_normal-tukey(0.2)-16","close_normal","tukey(0.2)",16,-0.21607,-0.38378,0.174164977986096,0.962937566089715,0.2336,1.84348,0,0,0.5625,1,1,1
"53","close_normal-tukey(5)-16","close_normal","tukey(5)",16,0.01534,0.0073,0.0911720688899699,0.0881849024365455,-0.13292,2.21383,0,0,0.6875,1,1,1
"54","close_normal-t(10)-16","close_normal","t(10)",16,0.3787,0.31929,0.0701705883185272,0.846651017522022,0.98628,4.70782,0.0625,0,0.8125,0.9375,1,1
"55","close_normal-laplace(0,10)-16","close_normal","laplace(0,10)",16,-4.67448,-5.6962,0.0853874846255407,11.9656879984305,-0.11573,1.98571,0,0,0.625,1,1,1
"56","sym_long_tail-t(1)-16","sym_long_tail","t(1)",16,0.03287,0.04769,0.00940122738143929,1.57638991151931,0.38403,2.1823,0,0,0.625,1,1,1
"57","sym_long_tail-t(2)-16","sym_long_tail","t(2)",16,0.73989,0.20337,0.235341519951917,2.27975072188545,0.82751,4.97968,0.125,0,0.875,0.9375,1,1
"58","sym_long_tail-t(4)-16","sym_long_tail","t(4)",16,0.1274,0.45051,0.184390369894066,1.7523149402305,-0.17265,2.44435,0,0,0.6875,1,1,1
"59","sym_long_tail-t(7)-16","sym_long_tail","t(7)",16,0.56504,0.70089,0.10988044702059,1.23634371431474,0.74793,3.99898,0.0625,0,0.75,0.9375,1,1
"60","sym_long_tail-tukey(10)-16","sym_long_tail","tukey(10)",16,-0.00678,-0.00241,0.190400852189193,0.0229515779459733,-1.07017,5.32367,0.1875,0.0625,0.8125,0.9375,1,1
"61","sym_short_tail-uniform(0,1)-16","sym_short_tail","uniform(0,1)",16,6.10937,6.75548,0.205566268896731,3.14307402409771,-0.55659,2.14756,0,0,0.5625,1,1,1
"62","sym_short_tail-beta(1.3,1.3)-16","sym_short_tail","beta(1.3,1.3)",16,0.4135,0.38744,0.0997452570346877,0.261265555623735,0.34801,1.98635,0,0,0.625,1,1,1
"63","sym_short_tail-beta(1.5,1.5)-16","sym_short_tail","beta(1.5,1.5)",16,0.3368,0.22119,0.471905363976682,0.244985560294908,0.49616,1.89663,0,0,0.6875,1,1,1
"64","sym_short_tail-tukey(1.5)-16","sym_short_tail","tukey(1.5)",16,0.14982,0.13963,0.0249091957124002,0.409085870039844,-0.50919,2.14301,0,0,0.625,1,1,1
"65","sym_short_tail-truncatednormal(2,2)-16","sym_short_tail","truncatednormal(2,2)",16,-2.37814,-2.80624,0.190015345759911,2.25297592827536,0.14749,2.0559,0,0,0.6875,1,1,1
"66","asym_long_tail-Weibull(0.5,1)-16","asym_long_tail","Weibull(0.5,1)",16,3.16788,1.02048,0.320799110656395,6.6939088316241,3.25906,12.41207,0.0625,0.0625,0.9375,0.9375,0.9375,1
"67","asym_long_tail-Weibull(2,1)-16","asym_long_tail","Weibull(2,1)",16,0.85243,0.73862,0.226058801185722,0.503453081247201,1.37971,4.76521,0.0625,0.0625,0.75,0.9375,1,1
"68","asym_long_tail-lognormal(0,1)-16","asym_long_tail","lognormal(0,1)",16,1.73625,1.15689,0.298086058106288,1.94359979021031,2.1603,7.30311,0.0625,0.0625,0.9375,0.9375,0.9375,1
"69","asym_long_tail-chisquared(4)-16","asym_long_tail","chisquared(4)",16,4.11746,3.52608,0.184414169200195,3.20680348242664,0.87261,2.64664,0.125,0,0.625,1,1,1
"70","asym_long_tail-chisquared(10)-16","asym_long_tail","chisquared(10)",16,10.14747,9.96086,0.0445963145085298,4.18442649480166,0.54489,2.60717,0,0,0.6875,0.9375,1,1
"71","asym_short_tail-beta(2,1)-16","asym_short_tail","beta(2,1)",16,0.58236,0.61599,0.126460497452372,0.265932846046773,-0.38288,1.90342,0,0,0.6875,1,1,1
"72","asym_short_tail-beta(3,2)-16","asym_short_tail","beta(3,2)",16,0.65448,0.69297,0.181513105152047,0.212050804638918,-0.41835,2.05266,0,0,0.5625,1,1,1
"73","asym_short_tail-lognormal(0,0.15)-16","asym_short_tail","lognormal(0,0.15)",16,1.05084,1.05895,0.0563950293949513,0.143807000138315,0.11327,2.26859,0,0,0.6875,1,1,1
"74","asym_short_tail-lognormal(0,0.25)-16","asym_short_tail","lognormal(0,0.25)",16,1.0239,0.99666,0.109118831562542,0.249636104143832,1.35789,4.88231,0.0625,0,0.75,0.9375,1,1
"75","asym_short_tail-lognormal(0,0.35)-16","asym_short_tail","lognormal(0,0.35)",16,1.2312,1.06395,0.343392445570763,0.487052065813529,0.88683,2.41224,0,0,0.6875,1,1,1
"76","normal(0.01)-Normal_548_5.48-16","normal(0.01)","Normal_548_5.48",16,547.47835,547.94756,0.0974844536122305,4.81317771822756,-0.54399,3.03841,0.0625,0,0.625,0.9375,1,0
"77","normal(0.1)-Normal_548_54.8-16","normal(0.1)","Normal_548_54.8",16,575.80544,578.7557,0.0486555476764733,60.6356343909089,-0.43598,2.84565,0.0625,0,0.6875,0.9375,1,0
"78","normal(0.3)-Normal_548_164.4-16","normal(0.3)","Normal_548_164.4",16,582.6488,660.41481,0.453175721572118,171.602330615199,-0.59269,1.88805,0,0,0.625,1,1,0
"79","normal(0.6)-Normal_548_328.8-16","normal(0.6)","Normal_548_328.8",16,563.11287,613.4688,0.137882450168355,365.209132406011,-0.08788,3.25455,0,0,0.8125,0.875,1,0
"80","normal(1)-Normal_548_548-16","normal(1)","Normal_548_548",16,322.40239,266.18325,0.106463661391947,528.059426709258,0.52681,2.26476,0,0,0.6875,0.9375,1,0
"81","normal(0.01)-Normal_-605_6.05-16","normal(0.01)","Normal_-605_6.05",16,-605.14234,-604.53403,0.117509500086126,5.17668783846507,0.13333,2.29897,0,0,0.6875,1,1,0
"82","normal(0.1)-Normal_-605_60.5-16","normal(0.1)","Normal_-605_60.5",16,-611.88835,-615.96429,0.100174950630827,40.6882157099439,-0.06942,2.07486,0,0,0.6875,1,1,0
"83","normal(0.3)-Normal_-605_181.5-16","normal(0.3)","Normal_-605_181.5",16,-522.1622,-516.68058,0.0361864433178172,151.482696209081,-0.29849,2.66255,0.25,0,0.625,1,1,0
"84","normal(0.6)-Normal_-605_363-16","normal(0.6)","Normal_-605_363",16,-513.3243,-520.84636,0.0258338712929099,291.170452725157,-0.26344,2.39487,0,0,0.75,0.9375,1,0
"85","normal(1)-Normal_-605_605-16","normal(1)","Normal_-605_605",16,-257.06052,-260.8158,0.00712125139317519,527.334283353482,0.15408,3.0489,0,0,0.8125,0.875,1,0
"86","normal(0.01)-Normal_956_9.56-16","normal(0.01)","Normal_956_9.56",16,957.52342,956.75394,0.0777365529238993,9.89856085789309,0.24037,3.1506,0.0625,0,0.625,0.9375,1,0
"87","normal(0.1)-Normal_956_95.6-16","normal(0.1)","Normal_956_95.6",16,950.26759,960.11451,0.0912611088671842,107.898316404752,-0.62295,3.66637,0.0625,0,0.8125,0.9375,1,0
"88","normal(0.3)-Normal_956_286.8-16","normal(0.3)","Normal_956_286.8",16,1026.98974,871.82949,0.587952164958852,263.899444967362,0.54094,1.77535,0,0,0.875,1,1,0
"89","normal(0.6)-Normal_956_573.6-16","normal(0.6)","Normal_956_573.6",16,942.05938,919.42165,0.0456229169600492,496.192078639411,0.41699,2.23308,0,0,0.625,0.9375,1,0
"90","normal(1)-Normal_956_956-16","normal(1)","Normal_956_956",16,934.17391,790.36834,0.178272341574718,806.662260279605,-0.11981,2.241,0,0,0.6875,1,1,0
"91","normal(0.01)-Normal_-597_5.97-16","normal(0.01)","Normal_-597_5.97",16,-597.82971,-598.25584,0.105456802576025,4.04080144277895,0.36259,2.97301,0,0,0.75,0.9375,1,0
"92","normal(0.1)-Normal_-597_59.7-16","normal(0.1)","Normal_-597_59.7",16,-600.72311,-605.37092,0.106317363815837,43.7163773929807,0.00342,2.26005,0,0,0.6875,1,1,0
"93","normal(0.3)-Normal_-597_179.1-16","normal(0.3)","Normal_-597_179.1",16,-529.12431,-529.9002,0.00514824565501146,150.70959157606,-0.25033,2.28304,0,0,0.6875,0.9375,1,0
"94","normal(0.6)-Normal_-597_358.2-16","normal(0.6)","Normal_-597_358.2",16,-556.7685,-614.24359,0.170197061292103,337.697311361666,1.2475,4.83414,0.0625,0.0625,0.75,0.9375,1,0
"95","normal(1)-Normal_-597_597-16","normal(1)","Normal_-597_597",16,-650.23986,-676.6894,0.0393423010829678,672.292653757626,0.66539,3.65857,0.0625,0,0.75,0.9375,1,0
"96","normal(0.01)-Normal_-277_2.77-16","normal(0.01)","Normal_-277_2.77",16,-277.60888,-277.5233,0.0374804126893042,2.2833259790764,-0.14932,2.33045,0,0,0.75,0.9375,1,0
"97","normal(0.1)-Normal_-277_27.7-16","normal(0.1)","Normal_-277_27.7",16,-269.36802,-266.67222,0.107710410836146,25.0282213118748,0.05923,1.91549,0,0,0.5625,1,1,0
"98","normal(0.3)-Normal_-277_83.1-16","normal(0.3)","Normal_-277_83.1",16,-244.89994,-269.50241,0.262033458095938,93.8905671770829,0.59812,2.38249,0,0,0.6875,0.9375,1,0
"99","normal(0.6)-Normal_-277_166.2-16","normal(0.6)","Normal_-277_166.2",16,-237.12522,-260.67979,0.15535591539328,151.616820900396,0.78056,2.71291,0,0,0.75,0.9375,1,0
"100","normal(1)-Normal_-277_277-16","normal(1)","Normal_-277_277",16,-325.05256,-302.11251,0.0775697982580312,295.734300142065,-0.30943,2.4054,0,0,0.625,0.9375,1,0
"101","close_normal-tukey(0.1)-23","close_normal","tukey(0.1)",23,0.16135,0.12691,0.0293831595900617,1.17209995386775,-0.20891,1.88734,0,0,0.608695652173913,1,1,1
"102","close_normal-tukey(0.2)-23","close_normal","tukey(0.2)",23,0.36996,0.70275,0.246338878102462,1.35094388089881,-0.74728,2.74963,0.0434782608695652,0,0.739130434782609,0.956521739130435,1,1
"103","close_normal-tukey(5)-23","close_normal","tukey(5)",23,-0.02538,-0.01339,0.164599326948556,0.0728435542372986,-0.20633,3.0095,0.0869565217391304,0,0.695652173913043,0.91304347826087,1,1
"104","close_normal-t(10)-23","close_normal","t(10)",23,-0.12375,-0.2601,0.118562312365417,1.15002817741746,0.14892,2.19144,0,0,0.652173913043478,1,1,1
"105","close_normal-laplace(0,10)-23","close_normal","laplace(0,10)",23,6.12803,2.51143,0.255678108315951,14.1451296859989,0.48587,2.57413,0,0,0.652173913043478,0.956521739130435,1,1
"106","sym_long_tail-t(1)-23","sym_long_tail","t(1)",23,0.46028,-0.14584,0.0843196235640871,7.18836226230682,0.91559,7.27317,0.260869565217391,0.0869565217391304,0.782608695652174,0.91304347826087,0.956521739130435,1
"107","sym_long_tail-t(2)-23","sym_long_tail","t(2)",23,-0.13562,0.30583,0.207233311189675,2.13020772319732,-2.42044,10.69739,0.0869565217391304,0.0434782608695652,0.91304347826087,0.956521739130435,0.956521739130435,1
"108","sym_long_tail-t(4)-23","sym_long_tail","t(4)",23,0.03057,0.0381,0.0047228262422511,1.59438429740131,0.7301,5.85222,0.173913043478261,0.130434782608696,0.826086956521739,0.956521739130435,0.956521739130435,1
"109","sym_long_tail-t(7)-23","sym_long_tail","t(7)",23,0.1995,0.31271,0.119529482806766,0.947130342586843,-0.91501,5.23586,0.0434782608695652,0,0.782608695652174,0.956521739130435,0.956521739130435,1
"110","sym_long_tail-tukey(10)-23","sym_long_tail","tukey(10)",23,0.0069,0.00034,0.34776135417187,0.0188635106267671,3.01523,11.96613,0.217391304347826,0.130434782608696,0.869565217391304,0.956521739130435,0.956521739130435,1
"111","sym_short_tail-uniform(0,1)-23","sym_short_tail","uniform(0,1)",23,5.76132,6.35696,0.204951322671715,2.90625106603522,-0.2137,1.7085,0,0,0.652173913043478,1,1,1
"112","sym_short_tail-beta(1.3,1.3)-23","sym_short_tail","beta(1.3,1.3)",23,0.60087,0.63779,0.143446675168936,0.25737787199682,-0.50483,2.02437,0,0,0.565217391304348,1,1,1
"113","sym_short_tail-beta(1.5,1.5)-23","sym_short_tail","beta(1.5,1.5)",23,0.56253,0.51998,0.15748078831988,0.270191687849384,0.14945,1.41399,0,0,0.478260869565217,1,1,1
"114","sym_short_tail-tukey(1.5)-23","sym_short_tail","tukey(1.5)",23,-0.05962,-0.11612,0.138275089835104,0.408605773226237,0.21496,1.72762,0,0,0.652173913043478,1,1,1
"115","sym_short_tail-truncatednormal(2,2)-23","sym_short_tail","truncatednormal(2,2)",23,-1.98158,-1.60748,0.165829306240584,2.25593418003726,-0.29292,2.30109,0,0,0.565217391304348,0.956521739130435,1,1
"116","asym_long_tail-Weibull(0.5,1)-23","asym_long_tail","Weibull(0.5,1)",23,1.452,0.83957,0.305806172176793,2.00267377090722,2.18095,8.29662,0.0434782608695652,0,0.91304347826087,0.956521739130435,0.956521739130435,1
"117","asym_long_tail-Weibull(2,1)-23","asym_long_tail","Weibull(2,1)",23,0.77421,0.79935,0.0494988631493005,0.50789045243669,0.1947,1.81552,0,0,0.652173913043478,1,1,1
"118","asym_long_tail-lognormal(0,1)-23","asym_long_tail","lognormal(0,1)",23,1.42354,1.06504,0.318557066749095,1.12538705751697,1.47074,5.96138,0.0434782608695652,0,0.869565217391304,0.956521739130435,0.956521739130435,1
"119","asym_long_tail-chisquared(4)-23","asym_long_tail","chisquared(4)",23,4.43354,3.02802,0.441821360399572,3.18119522045942,0.83067,2.30197,0,0,0.695652173913043,0.956521739130435,1,1
"120","asym_long_tail-chisquared(10)-23","asym_long_tail","chisquared(10)",23,9.8124,8.45537,0.292506940482331,4.63930872123006,1.04017,3.21918,0,0,0.826086956521739,0.91304347826087,1,1
"121","asym_short_tail-beta(2,1)-23","asym_short_tail","beta(2,1)",23,0.60949,0.63405,0.106840489887071,0.229875396733576,-0.18066,1.82962,0,0,0.565217391304348,1,1,1
"122","asym_short_tail-beta(3,2)-23","asym_short_tail","beta(3,2)",23,0.54721,0.56251,0.0856716683908606,0.178588794724957,0.15248,2.71205,0,0,0.739130434782609,0.956521739130435,1,1
"123","asym_short_tail-lognormal(0,0.15)-23","asym_short_tail","lognormal(0,0.15)",23,1.00243,1.01711,0.119454003854977,0.122892490215918,-0.24388,2.77342,0,0,0.739130434782609,0.956521739130435,1,1
"124","asym_short_tail-lognormal(0,0.25)-23","asym_short_tail","lognormal(0,0.25)",23,1.00755,1.03872,0.142650656820524,0.218505828817996,0.05329,2.93186,0.0434782608695652,0,0.739130434782609,0.91304347826087,1,1
"125","asym_short_tail-lognormal(0,0.35)-23","asym_short_tail","lognormal(0,0.35)",23,1.22648,1.12306,0.200309531842951,0.516300942089389,0.93525,3.70323,0,0,0.695652173913043,0.956521739130435,1,1
"126","normal(0.01)-Normal_548_5.48-23","normal(0.01)","Normal_548_5.48",23,549.28004,548.81338,0.0840821059855352,5.55005128059249,-0.0144,3.28626,0.0869565217391304,0,0.739130434782609,0.91304347826087,1,0
"127","normal(0.1)-Normal_548_54.8-23","normal(0.1)","Normal_548_54.8",23,557.63494,584.29772,0.445372420618664,59.8662574637265,-0.59073,1.81488,0,0,0.608695652173913,1,1,0
"128","normal(0.3)-Normal_548_164.4-23","normal(0.3)","Normal_548_164.4",23,551.94256,575.59851,0.135169623892395,175.009364669328,-0.02647,3.12152,0,0,0.695652173913043,0.91304347826087,1,0
"129","normal(0.6)-Normal_548_328.8-23","normal(0.6)","Normal_548_328.8",23,482.07756,488.33345,0.0209977382421898,297.931611864289,0.1971,1.93102,0,0,0.608695652173913,0.956521739130435,1,0
"130","normal(1)-Normal_548_548-23","normal(1)","Normal_548_548",23,460.89639,377.95427,0.209037910167112,396.780277480257,0.0706,2.08058,0,0,0.652173913043478,1,1,0
"131","normal(0.01)-Normal_-605_6.05-23","normal(0.01)","Normal_-605_6.05",23,-602.36004,-601.80006,0.115335585638213,4.85522310309806,-0.59699,3.21554,0.0869565217391304,0,0.695652173913043,0.91304347826087,1,0
"132","normal(0.1)-Normal_-605_60.5-23","normal(0.1)","Normal_-605_60.5",23,-578.23684,-582.77642,0.0880435342752857,51.5606289248464,0.38542,2.77719,0,0,0.695652173913043,0.956521739130435,1,0
"133","normal(0.3)-Normal_-605_181.5-23","normal(0.3)","Normal_-605_181.5",23,-585.95498,-572.72992,0.0726131572179576,182.130353598361,-0.04565,3.25048,0.0434782608695652,0,0.695652173913043,0.956521739130435,1,0
"134","normal(0.6)-Normal_-605_363-23","normal(0.6)","Normal_-605_363",23,-536.30441,-607.0729,0.181587480828923,389.721194858539,-0.34275,3.66514,0.0434782608695652,0,0.826086956521739,0.956521739130435,1,0
"135","normal(1)-Normal_-605_605-23","normal(1)","Normal_-605_605",23,-589.25627,-653.2438,0.129086523635727,495.694888961208,0.40667,2.23942,0,0,0.652173913043478,0.956521739130435,1,0
"136","normal(0.01)-Normal_956_9.56-23","normal(0.01)","Normal_956_9.56",23,953.98737,953.67936,0.042427579069451,7.25966474532733,0.18073,2.56939,0,0,0.652173913043478,0.956521739130435,1,0
"137","normal(0.1)-Normal_956_95.6-23","normal(0.1)","Normal_956_95.6",23,956.81571,947.21443,0.147190782450328,65.2301716192049,-0.14431,2.24686,0,0,0.652173913043478,0.956521739130435,1,0
"138","normal(0.3)-Normal_956_286.8-23","normal(0.3)","Normal_956_286.8",23,1062.90698,1047.62608,0.0557780712769079,273.958917011285,0.39461,3.05374,0,0,0.695652173913043,0.956521739130435,1,0
"139","normal(0.6)-Normal_956_573.6-23","normal(0.6)","Normal_956_573.6",23,867.51433,768.1829,0.176058314743866,564.196187748983,0.83901,4.48165,0.0434782608695652,0,0.782608695652174,0.956521739130435,1,0
"140","normal(1)-Normal_956_956-23","normal(1)","Normal_956_956",23,943.76234,1039.11567,0.113872163490981,837.371725246546,-0.20086,2.17364,0,0,0.695652173913043,0.956521739130435,1,0
"141","normal(0.01)-Normal_-597_5.97-23","normal(0.01)","Normal_-597_5.97",23,-594.87605,-596.28991,0.2196146206985,6.43791381240063,0.52929,2.36917,0,0,0.608695652173913,0.956521739130435,1,0
