"","sample_id","dist_family","dist","size","mean","median","mean_median","sd","skewness","kurtosis","outliers_minor","outliers_extream","sigma_1_ratio","sigma_2_ratio","sigma_3_ratio","alternative"
"21","asym_short_tail-beta(2,1)-8","asym_short_tail","beta(2,1)",8,0,0.00345,-0.00345,1,-0.11241,1.52426,0,0,0.5,1,1,1
"22","asym_short_tail-beta(3,2)-8","asym_short_tail","beta(3,2)",8,0,0.24638,-0.24638,1,-0.72971,2.52689,1,0,0.5,1,1,1
"23","asym_short_tail-lognormal(0,0.15)-8","asym_short_tail","lognormal(0,0.15)",8,0,0.02498,-0.02498,1,-0.35613,2.54452,0,0,0.75,1,1,1
"24","asym_short_tail-lognormal(0,0.25)-8","asym_short_tail","lognormal(0,0.25)",8,0,0.01474,-0.01474,1,0.19974,2.35319,0,0,0.625,1,1,1
"25","asym_short_tail-lognormal(0,0.35)-8","asym_short_tail","lognormal(0,0.35)",8,0,0.12142,-0.12142,1,-0.33579,1.69685,0,0,0.625,1,1,1
"26","normal(0.01)-Normal_548_5.48-8","normal(0.01)","Normal_548_5.48",8,0,0.09144,-0.09144,1,-0.50266,2.29206,0,0,0.75,1,1,0
"27","normal(0.1)-Normal_548_54.8-8","normal(0.1)","Normal_548_54.8",8,0,0.07573,-0.07573,1,0.05038,2.66588,0,0,0.75,1,1,0
"28","normal(0.2)-Normal_548_109.6-8","normal(0.2)","Normal_548_109.6",8,0,-0.19563,0.19563,1,-0.16145,2.28268,0,0,0.625,1,1,0
"29","normal(0.4)-Normal_548_219.2-8","normal(0.4)","Normal_548_219.2",8,0,0.23753,-0.23753,1,-1.08532,3.0411,1,0,0.875,0.875,1,0
"30","normal(0.6)-Normal_548_328.8-8","normal(0.6)","Normal_548_328.8",8,0,0.34054,-0.34054,1,-1.29556,3.28488,1,0,0.875,0.875,1,0
"31","normal(0.01)-Normal_-605_6.05-8","normal(0.01)","Normal_-605_6.05",8,0,0.17235,-0.17235,1,-0.15452,1.50177,0,0,0.625,1,1,0
"32","normal(0.1)-Normal_-605_60.5-8","normal(0.1)","Normal_-605_60.5",8,0,-0.26584,0.26584,1,0.89959,2.77765,0,0,0.875,1,1,0
"33","normal(0.2)-Normal_-605_121-8","normal(0.2)","Normal_-605_121",8,0,0.34222,-0.34222,1,-0.69339,2.3456,0,0,0.75,1,1,0
"34","normal(0.4)-Normal_-605_242-8","normal(0.4)","Normal_-605_242",8,0,-0.13467,0.13467,1,0.59309,2.33194,0,0,0.75,1,1,0
"35","normal(0.6)-Normal_-605_363-8","normal(0.6)","Normal_-605_363",8,0,-0.23774,0.23774,1,0.24483,1.43013,0,0,0.625,1,1,0
"36","normal(0.01)-Normal_956_9.56-8","normal(0.01)","Normal_956_9.56",8,0,0.12363,-0.12363,1,-0.02295,1.97232,0,0,0.625,1,1,0
"37","normal(0.1)-Normal_956_95.6-8","normal(0.1)","Normal_956_95.6",8,0,-0.01795,0.01795,1,-0.15279,1.46975,0,0,0.625,1,1,0
"38","normal(0.2)-Normal_956_191.2-8","normal(0.2)","Normal_956_191.2",8,0,-0.10313,0.10313,1,0.16843,1.7203,0,0,0.75,1,1,0
"39","normal(0.4)-Normal_956_382.4-8","normal(0.4)","Normal_956_382.4",8,0,-0.08562,0.08562,1,0.15868,1.66335,0,0,0.5,1,1,0
"40","normal(0.6)-Normal_956_573.6-8","normal(0.6)","Normal_956_573.6",8,0,0.1491,-0.1491,1,-0.41091,2.45529,1,0,0.625,1,1,0
"41","normal(0.01)-Normal_-597_5.97-8","normal(0.01)","Normal_-597_5.97",8,0,-0.11193,0.11193,1,-0.74992,2.91893,0,0,0.625,1,1,0
"42","normal(0.1)-Normal_-597_59.7-8","normal(0.1)","Normal_-597_59.7",8,0,0.31961,-0.31961,1,-0.85676,2.59392,0,0,0.875,1,1,0
"43","normal(0.2)-Normal_-597_119.4-8","normal(0.2)","Normal_-597_119.4",8,0,-0.25648,0.25648,1,0.62746,2.15614,0,0,0.75,1,1,0
"44","normal(0.4)-Normal_-597_238.8-8","normal(0.4)","Normal_-597_238.8",8,0,0.27448,-0.27448,1,-0.58131,2.16595,0,0,0.75,1,1,0
"45","normal(0.6)-Normal_-597_358.2-8","normal(0.6)","Normal_-597_358.2",8,0,-0.19099,0.19099,1,1.22595,3.63886,1,0,0.875,0.875,1,0
"46","normal(0.01)-Normal_-277_2.77-8","normal(0.01)","Normal_-277_2.77",8,0,-0.12956,0.12956,1,0.14488,2.72831,0,0,0.75,1,1,0
"47","normal(0.1)-Normal_-277_27.7-8","normal(0.1)","Normal_-277_27.7",8,0,0.01692,-0.01692,1,-0.01079,1.93045,0,0,0.625,1,1,0
"48","normal(0.2)-Normal_-277_55.4-8","normal(0.2)","Normal_-277_55.4",8,0,0.20353,-0.20353,1,-0.77497,2.72246,0,0,0.75,1,1,0
"49","normal(0.4)-Normal_-277_110.8-8","normal(0.4)","Normal_-277_110.8",8,0,0.05664,-0.05664,1,-0.56819,3.40506,2,0,0.75,1,1,0
"50","normal(0.6)-Normal_-277_166.2-8","normal(0.6)","Normal_-277_166.2",8,0,-0.58833,0.58833,1,0.54454,1.44797,0,0,0.625,1,1,0
"51","close_normal-tukey(0.1)-16","close_normal","tukey(0.1)",16,0,-0.08031,0.08031,1,0.14807,1.8838,0,0,0.6875,1,1,1
"52","close_normal-tukey(0.2)-16","close_normal","tukey(0.2)",16,0,-0.17416,0.17416,1,0.2336,1.84348,0,0,0.5625,1,1,1
"53","close_normal-tukey(5)-16","close_normal","tukey(5)",16,0,-0.09114,0.09114,1,-0.13292,2.21383,0,0,0.6875,1,1,1
"54","close_normal-t(10)-16","close_normal","t(10)",16,0,-0.07016,0.07016,1,0.98628,4.70782,1,0,0.8125,0.9375,1,1
"55","close_normal-laplace(0,10)-16","close_normal","laplace(0,10)",16,0,-0.08539,0.08539,1,-0.11573,1.98571,0,0,0.625,1,1,1
"56","sym_long_tail-t(1)-16","sym_long_tail","t(1)",16,0,0.0094,-0.0094,1,0.38403,2.1823,0,0,0.625,1,1,1
"57","sym_long_tail-t(2)-16","sym_long_tail","t(2)",16,0,-0.23534,0.23534,1,0.82751,4.97968,2,0,0.875,0.9375,1,1
"58","sym_long_tail-t(4)-16","sym_long_tail","t(4)",16,0,0.18439,-0.18439,1,-0.17265,2.44435,0,0,0.6875,1,1,1
"59","sym_long_tail-t(7)-16","sym_long_tail","t(7)",16,0,0.10988,-0.10988,1,0.74793,3.99898,1,0,0.75,0.9375,1,1
"60","sym_long_tail-tukey(10)-16","sym_long_tail","tukey(10)",16,0,0.19061,-0.19061,1,-1.07017,5.32367,3,1,0.8125,0.9375,1,1
"61","sym_short_tail-uniform(0,1)-16","sym_short_tail","uniform(0,1)",16,0,0.20557,-0.20557,1,-0.55659,2.14756,0,0,0.5625,1,1,1
"62","sym_short_tail-beta(1.3,1.3)-16","sym_short_tail","beta(1.3,1.3)",16,0,-0.09974,0.09974,1,0.34801,1.98635,0,0,0.625,1,1,1
"63","sym_short_tail-beta(1.5,1.5)-16","sym_short_tail","beta(1.5,1.5)",16,0,-0.47191,0.47191,1,0.49616,1.89663,0,0,0.6875,1,1,1
"64","sym_short_tail-tukey(1.5)-16","sym_short_tail","tukey(1.5)",16,0,-0.02489,0.02489,1,-0.50919,2.14301,0,0,0.625,1,1,1
"65","sym_short_tail-truncatednormal(2,2)-16","sym_short_tail","truncatednormal(2,2)",16,0,-0.19002,0.19002,1,0.14749,2.0559,0,0,0.6875,1,1,1
"66","asym_long_tail-Weibull(0.5,1)-16","asym_long_tail","Weibull(0.5,1)",16,0,-0.3208,0.3208,1,3.25906,12.41207,1,1,0.9375,0.9375,0.9375,1
"67","asym_long_tail-Weibull(2,1)-16","asym_long_tail","Weibull(2,1)",16,0,-0.22605,0.22605,1,1.37971,4.76521,1,1,0.75,0.9375,1,1
"68","asym_long_tail-lognormal(0,1)-16","asym_long_tail","lognormal(0,1)",16,0,-0.29809,0.29809,1,2.1603,7.30311,1,1,0.9375,0.9375,0.9375,1
"69","asym_long_tail-chisquared(4)-16","asym_long_tail","chisquared(4)",16,0,-0.18442,0.18442,1,0.87261,2.64664,2,0,0.625,1,1,1
"70","asym_long_tail-chisquared(10)-16","asym_long_tail","chisquared(10)",16,0,-0.0446,0.0446,1,0.54489,2.60717,0,0,0.6875,0.9375,1,1
"71","asym_short_tail-beta(2,1)-16","asym_short_tail","beta(2,1)",16,0,0.12647,-0.12647,1,-0.38288,1.90342,0,0,0.6875,1,1,1
"72","asym_short_tail-beta(3,2)-16","asym_short_tail","beta(3,2)",16,0,0.18151,-0.18151,1,-0.41835,2.05266,0,0,0.5625,1,1,1
"73","asym_short_tail-lognormal(0,0.15)-16","asym_short_tail","lognormal(0,0.15)",16,0,0.05637,-0.05637,1,0.11327,2.26859,0,0,0.6875,1,1,1
"74","asym_short_tail-lognormal(0,0.25)-16","asym_short_tail","lognormal(0,0.25)",16,0,-0.10909,0.10909,1,1.35789,4.88231,1,0,0.75,0.9375,1,1
"75","asym_short_tail-lognormal(0,0.35)-16","asym_short_tail","lognormal(0,0.35)",16,0,-0.34338,0.34338,1,0.88683,2.41224,0,0,0.6875,1,1,1
"76","normal(0.01)-Normal_548_5.48-16","normal(0.01)","Normal_548_5.48",16,0,0.09749,-0.09749,1,-0.54399,3.03841,1,0,0.625,0.9375,1,0
"77","normal(0.1)-Normal_548_54.8-16","normal(0.1)","Normal_548_54.8",16,0,0.04866,-0.04866,1,-0.43598,2.84565,1,0,0.6875,0.9375,1,0
"78","normal(0.2)-Normal_548_109.6-16","normal(0.2)","Normal_548_109.6",16,0,0.45318,-0.45318,1,-0.59269,1.88805,0,0,0.625,1,1,0
"79","normal(0.4)-Normal_548_219.2-16","normal(0.4)","Normal_548_219.2",16,0,0.13788,-0.13788,1,-0.08788,3.25455,0,0,0.8125,0.875,1,0
"80","normal(0.6)-Normal_548_328.8-16","normal(0.6)","Normal_548_328.8",16,0,-0.10646,0.10646,1,0.52681,2.26476,0,0,0.6875,0.9375,1,0
"81","normal(0.01)-Normal_-605_6.05-16","normal(0.01)","Normal_-605_6.05",16,0,0.11751,-0.11751,1,0.13333,2.29897,0,0,0.6875,1,1,0
"82","normal(0.1)-Normal_-605_60.5-16","normal(0.1)","Normal_-605_60.5",16,0,-0.10018,0.10018,1,-0.06942,2.07486,0,0,0.6875,1,1,0
"83","normal(0.2)-Normal_-605_121-16","normal(0.2)","Normal_-605_121",16,0,0.03619,-0.03619,1,-0.29849,2.66255,4,0,0.625,1,1,0
"84","normal(0.4)-Normal_-605_242-16","normal(0.4)","Normal_-605_242",16,0,-0.02583,0.02583,1,-0.26344,2.39487,0,0,0.75,0.9375,1,0
"85","normal(0.6)-Normal_-605_363-16","normal(0.6)","Normal_-605_363",16,0,-0.00712,0.00712,1,0.15408,3.0489,0,0,0.8125,0.875,1,0
"86","normal(0.01)-Normal_956_9.56-16","normal(0.01)","Normal_956_9.56",16,0,-0.07774,0.07774,1,0.24037,3.1506,1,0,0.625,0.9375,1,0
"87","normal(0.1)-Normal_956_95.6-16","normal(0.1)","Normal_956_95.6",16,0,0.09126,-0.09126,1,-0.62295,3.66637,1,0,0.8125,0.9375,1,0
"88","normal(0.2)-Normal_956_191.2-16","normal(0.2)","Normal_956_191.2",16,0,-0.58795,0.58795,1,0.54094,1.77535,0,0,0.875,1,1,0
"89","normal(0.4)-Normal_956_382.4-16","normal(0.4)","Normal_956_382.4",16,0,-0.04562,0.04562,1,0.41699,2.23308,0,0,0.625,0.9375,1,0
"90","normal(0.6)-Normal_956_573.6-16","normal(0.6)","Normal_956_573.6",16,0,-0.17827,0.17827,1,-0.11981,2.241,0,0,0.6875,1,1,0
"91","normal(0.01)-Normal_-597_5.97-16","normal(0.01)","Normal_-597_5.97",16,0,-0.10546,0.10546,1,0.36259,2.97301,0,0,0.75,0.9375,1,0
"92","normal(0.1)-Normal_-597_59.7-16","normal(0.1)","Normal_-597_59.7",16,0,-0.10632,0.10632,1,0.00342,2.26005,0,0,0.6875,1,1,0
"93","normal(0.2)-Normal_-597_119.4-16","normal(0.2)","Normal_-597_119.4",16,0,-0.00515,0.00515,1,-0.25033,2.28304,0,0,0.6875,0.9375,1,0
"94","normal(0.4)-Normal_-597_238.8-16","normal(0.4)","Normal_-597_238.8",16,0,-0.1702,0.1702,1,1.2475,4.83414,1,1,0.75,0.9375,1,0
"95","normal(0.6)-Normal_-597_358.2-16","normal(0.6)","Normal_-597_358.2",16,0,-0.03934,0.03934,1,0.66539,3.65857,1,0,0.75,0.9375,1,0
"96","normal(0.01)-Normal_-277_2.77-16","normal(0.01)","Normal_-277_2.77",16,0,0.03748,-0.03748,1,-0.14932,2.33045,0,0,0.75,0.9375,1,0
"97","normal(0.1)-Normal_-277_27.7-16","normal(0.1)","Normal_-277_27.7",16,0,0.10771,-0.10771,1,0.05923,1.91549,0,0,0.5625,1,1,0
"98","normal(0.2)-Normal_-277_55.4-16","normal(0.2)","Normal_-277_55.4",16,0,-0.26203,0.26203,1,0.59812,2.38249,0,0,0.6875,0.9375,1,0
"99","normal(0.4)-Normal_-277_110.8-16","normal(0.4)","Normal_-277_110.8",16,0,-0.15536,0.15536,1,0.78056,2.71291,0,0,0.75,0.9375,1,0
"100","normal(0.6)-Normal_-277_166.2-16","normal(0.6)","Normal_-277_166.2",16,0,0.07757,-0.07757,1,-0.30943,2.4054,0,0,0.625,0.9375,1,0
"101","close_normal-tukey(0.1)-23","close_normal","tukey(0.1)",23,0,-0.02939,0.02939,1,-0.20891,1.88734,0,0,0.608695652173913,1,1,1
"102","close_normal-tukey(0.2)-23","close_normal","tukey(0.2)",23,0,0.24634,-0.24634,1,-0.74728,2.74963,1,0,0.739130434782609,0.956521739130435,1,1
"103","close_normal-tukey(5)-23","close_normal","tukey(5)",23,0,0.16456,-0.16456,1,-0.20633,3.0095,2,0,0.695652173913043,0.91304347826087,1,1
"104","close_normal-t(10)-23","close_normal","t(10)",23,0,-0.11856,0.11856,1,0.14892,2.19144,0,0,0.652173913043478,1,1,1
"105","close_normal-laplace(0,10)-23","close_normal","laplace(0,10)",23,0,-0.25568,0.25568,1,0.48587,2.57413,0,0,0.652173913043478,0.956521739130435,1,1
"106","sym_long_tail-t(1)-23","sym_long_tail","t(1)",23,0,-0.08432,0.08432,1,0.91559,7.27317,6,2,0.782608695652174,0.91304347826087,0.956521739130435,1
"107","sym_long_tail-t(2)-23","sym_long_tail","t(2)",23,0,0.20724,-0.20724,1,-2.42044,10.69739,2,1,0.91304347826087,0.956521739130435,0.956521739130435,1
"108","sym_long_tail-t(4)-23","sym_long_tail","t(4)",23,0,0.00472,-0.00472,1,0.7301,5.85222,4,3,0.826086956521739,0.956521739130435,0.956521739130435,1
"109","sym_long_tail-t(7)-23","sym_long_tail","t(7)",23,0,0.11954,-0.11954,1,-0.91501,5.23586,1,0,0.782608695652174,0.956521739130435,0.956521739130435,1
"110","sym_long_tail-tukey(10)-23","sym_long_tail","tukey(10)",23,0,-0.34737,0.34737,1,3.01523,11.96613,5,3,0.869565217391304,0.956521739130435,0.956521739130435,1
"111","sym_short_tail-uniform(0,1)-23","sym_short_tail","uniform(0,1)",23,0,0.20495,-0.20495,1,-0.2137,1.7085,0,0,0.652173913043478,1,1,1
"112","sym_short_tail-beta(1.3,1.3)-23","sym_short_tail","beta(1.3,1.3)",23,0,0.14346,-0.14346,1,-0.50483,2.02437,0,0,0.565217391304348,1,1,1
"113","sym_short_tail-beta(1.5,1.5)-23","sym_short_tail","beta(1.5,1.5)",23,0,-0.15749,0.15749,1,0.14945,1.41399,0,0,0.478260869565217,1,1,1
"114","sym_short_tail-tukey(1.5)-23","sym_short_tail","tukey(1.5)",23,0,-0.13826,0.13826,1,0.21496,1.72762,0,0,0.652173913043478,1,1,1
"115","sym_short_tail-truncatednormal(2,2)-23","sym_short_tail","truncatednormal(2,2)",23,0,0.16583,-0.16583,1,-0.29292,2.30109,0,0,0.565217391304348,0.956521739130435,1,1
"116","asym_long_tail-Weibull(0.5,1)-23","asym_long_tail","Weibull(0.5,1)",23,0,-0.3058,0.3058,1,2.18095,8.29662,1,0,0.91304347826087,0.956521739130435,0.956521739130435,1
"117","asym_long_tail-Weibull(2,1)-23","asym_long_tail","Weibull(2,1)",23,0,0.04949,-0.04949,1,0.1947,1.81552,0,0,0.652173913043478,1,1,1
"118","asym_long_tail-lognormal(0,1)-23","asym_long_tail","lognormal(0,1)",23,0,-0.31856,0.31856,1,1.47074,5.96138,1,0,0.869565217391304,0.956521739130435,0.956521739130435,1
"119","asym_long_tail-chisquared(4)-23","asym_long_tail","chisquared(4)",23,0,-0.44182,0.44182,1,0.83067,2.30197,0,0,0.695652173913043,0.956521739130435,1,1
"120","asym_long_tail-chisquared(10)-23","asym_long_tail","chisquared(10)",23,0,-0.29251,0.29251,1,1.04017,3.21918,0,0,0.826086956521739,0.91304347826087,1,1
"121","asym_short_tail-beta(2,1)-23","asym_short_tail","beta(2,1)",23,0,0.10687,-0.10687,1,-0.18066,1.82962,0,0,0.565217391304348,1,1,1
"122","asym_short_tail-beta(3,2)-23","asym_short_tail","beta(3,2)",23,0,0.08565,-0.08565,1,0.15248,2.71205,0,0,0.739130434782609,0.956521739130435,1,1
"123","asym_short_tail-lognormal(0,0.15)-23","asym_short_tail","lognormal(0,0.15)",23,0,0.11947,-0.11947,1,-0.24388,2.77342,0,0,0.739130434782609,0.956521739130435,1,1
"124","asym_short_tail-lognormal(0,0.25)-23","asym_short_tail","lognormal(0,0.25)",23,0,0.14263,-0.14263,1,0.05329,2.93186,1,0,0.739130434782609,0.91304347826087,1,1
"125","asym_short_tail-lognormal(0,0.35)-23","asym_short_tail","lognormal(0,0.35)",23,0,-0.2003,0.2003,1,0.93525,3.70323,0,0,0.695652173913043,0.956521739130435,1,1
"126","normal(0.01)-Normal_548_5.48-23","normal(0.01)","Normal_548_5.48",23,0,-0.08408,0.08408,1,-0.0144,3.28626,2,0,0.739130434782609,0.91304347826087,1,0
"127","normal(0.1)-Normal_548_54.8-23","normal(0.1)","Normal_548_54.8",23,0,0.44537,-0.44537,1,-0.59073,1.81488,0,0,0.608695652173913,1,1,0
"128","normal(0.2)-Normal_548_109.6-23","normal(0.2)","Normal_548_109.6",23,0,0.13517,-0.13517,1,-0.02647,3.12152,0,0,0.695652173913043,0.91304347826087,1,0
"129","normal(0.4)-Normal_548_219.2-23","normal(0.4)","Normal_548_219.2",23,0,0.021,-0.021,1,0.1971,1.93102,0,0,0.608695652173913,0.956521739130435,1,0
"130","normal(0.6)-Normal_548_328.8-23","normal(0.6)","Normal_548_328.8",23,0,-0.20904,0.20904,1,0.0706,2.08058,0,0,0.652173913043478,1,1,0
"131","normal(0.01)-Normal_-605_6.05-23","normal(0.01)","Normal_-605_6.05",23,0,0.11534,-0.11534,1,-0.59699,3.21554,2,0,0.695652173913043,0.91304347826087,1,0
"132","normal(0.1)-Normal_-605_60.5-23","normal(0.1)","Normal_-605_60.5",23,0,-0.08804,0.08804,1,0.38542,2.77719,0,0,0.695652173913043,0.956521739130435,1,0
"133","normal(0.2)-Normal_-605_121-23","normal(0.2)","Normal_-605_121",23,0,0.07261,-0.07261,1,-0.04565,3.25048,1,0,0.695652173913043,0.956521739130435,1,0
"134","normal(0.4)-Normal_-605_242-23","normal(0.4)","Normal_-605_242",23,0,-0.18159,0.18159,1,-0.34275,3.66514,1,0,0.826086956521739,0.956521739130435,1,0
"135","normal(0.6)-Normal_-605_363-23","normal(0.6)","Normal_-605_363",23,0,-0.12909,0.12909,1,0.40667,2.23942,0,0,0.652173913043478,0.956521739130435,1,0
"136","normal(0.01)-Normal_956_9.56-23","normal(0.01)","Normal_956_9.56",23,0,-0.04243,0.04243,1,0.18073,2.56939,0,0,0.652173913043478,0.956521739130435,1,0
"137","normal(0.1)-Normal_956_95.6-23","normal(0.1)","Normal_956_95.6",23,0,-0.14719,0.14719,1,-0.14431,2.24686,0,0,0.652173913043478,0.956521739130435,1,0
"138","normal(0.2)-Normal_956_191.2-23","normal(0.2)","Normal_956_191.2",23,0,-0.05578,0.05578,1,0.39461,3.05374,0,0,0.695652173913043,0.956521739130435,1,0
"139","normal(0.4)-Normal_956_382.4-23","normal(0.4)","Normal_956_382.4",23,0,-0.17606,0.17606,1,0.83901,4.48165,1,0,0.782608695652174,0.956521739130435,1,0
"140","normal(0.6)-Normal_956_573.6-23","normal(0.6)","Normal_956_573.6",23,0,0.11387,-0.11387,1,-0.20086,2.17364,0,0,0.695652173913043,0.956521739130435,1,0
"141","normal(0.01)-Normal_-597_5.97-23","normal(0.01)","Normal_-597_5.97",23,0,-0.21961,0.21961,1,0.52929,2.36917,0,0,0.608695652173913,0.956521739130435,1,0
"142","normal(0.1)-Normal_-597_59.7-23","normal(0.1)","Normal_-597_59.7",23,0,-0.14366,0.14366,1,0.66743,2.9835,0,0,0.782608695652174,0.91304347826087,1,0
"143","normal(0.2)-Normal_-597_119.4-23","normal(0.2)","Normal_-597_119.4",23,0,0.09534,-0.09534,1,-0.75289,3.34262,1,0,0.739130434782609,0.956521739130435,1,0
"144","normal(0.4)-Normal_-597_238.8-23","normal(0.4)","Normal_-597_238.8",23,0,-0.08576,0.08576,1,-0.16707,1.79901,0,0,0.652173913043478,1,1,0
"145","normal(0.6)-Normal_-597_358.2-23","normal(0.6)","Normal_-597_358.2",23,0,0.1186,-0.1186,1,-0.13239,2.63282,0,0,0.739130434782609,1,1,0
"146","normal(0.01)-Normal_-277_2.77-23","normal(0.01)","Normal_-277_2.77",23,0,0.14042,-0.14042,1,0.10942,2.12535,0,0,0.652173913043478,0.956521739130435,1,0
"147","normal(0.1)-Normal_-277_27.7-23","normal(0.1)","Normal_-277_27.7",23,0,-0.17212,0.17212,1,0.17778,2.10255,0,0,0.695652173913043,1,1,0
"148","normal(0.2)-Normal_-277_55.4-23","normal(0.2)","Normal_-277_55.4",23,0,-0.12004,0.12004,1,-0.10576,2.84631,0,0,0.739130434782609,0.956521739130435,1,0
"149","normal(0.4)-Normal_-277_110.8-23","normal(0.4)","Normal_-277_110.8",23,0,0.1474,-0.1474,1,0.55096,2.75533,0,0,0.608695652173913,0.956521739130435,1,0
"150","normal(0.6)-Normal_-277_166.2-23","normal(0.6)","Normal_-277_166.2",23,0,0.10851,-0.10851,1,0.07267,2.24426,0,0,0.652173913043478,1,1,0
"151","close_normal-tukey(0.1)-31","close_normal","tukey(0.1)",31,0,-0.11584,0.11584,1,0.05855,2.08622,0,0,0.645161290322581,0.967741935483871,1,1
"152","close_normal-tukey(0.2)-31","close_normal","tukey(0.2)",31,0,0.04425,-0.04425,1,0.11998,1.97068,0,0,0.580645161290323,1,1,1
"153","close_normal-tukey(5)-31","close_normal","tukey(5)",31,0,-0.1598,0.1598,1,0.32089,3.18094,5,0,0.741935483870968,0.935483870967742,1,1
"154","close_normal-t(10)-31","close_normal","t(10)",31,0,-0.04363,0.04363,1,0.28008,4.12188,5,1,0.774193548387097,0.903225806451613,1,1
"155","close_normal-laplace(0,10)-31","close_normal","laplace(0,10)",31,0,0.08362,-0.08362,1,-0.38279,2.69421,0,0,0.67741935483871,0.935483870967742,1,1
"156","sym_long_tail-t(1)-31","sym_long_tail","t(1)",31,0,-0.07516,0.07516,1,0.76408,5.62904,5,3,0.774193548387097,0.903225806451613,0.967741935483871,1
"157","sym_long_tail-t(2)-31","sym_long_tail","t(2)",31,0,-0.16462,0.16462,1,2.89087,14.18437,4,1,0.838709677419355,0.967741935483871,0.967741935483871,1
"158","sym_long_tail-t(4)-31","sym_long_tail","t(4)",31,0,-0.17853,0.17853,1,-0.61487,4.60055,1,0,0.709677419354839,0.967741935483871,0.967741935483871,1
"159","sym_long_tail-t(7)-31","sym_long_tail","t(7)",31,0,0.2586,-0.2586,1,-0.5969,2.94221,1,0,0.67741935483871,0.935483870967742,1,1
"160","sym_long_tail-tukey(10)-31","sym_long_tail","tukey(10)",31,0,0.03296,-0.03296,1,-0.95418,7.02758,6,5,0.838709677419355,0.935483870967742,0.967741935483871,1
"161","sym_short_tail-uniform(0,1)-31","sym_short_tail","uniform(0,1)",31,0,0.00827,-0.00827,1,0.04528,1.69795,0,0,0.612903225806452,1,1,1
"162","sym_short_tail-beta(1.3,1.3)-31","sym_short_tail","beta(1.3,1.3)",31,0,0.22052,-0.22052,1,-0.60202,2.25155,0,0,0.612903225806452,0.967741935483871,1,1
